TermCode            | Size    | Uri
CTC_RET_Zx3         | 41      | asm://bitcore/bits?between#between_(16i,8u,8u)
CTC_RET_ZED_SBB     | 39      | asm://bitcore/bits?between#between_(16u,8u,8u)
CTC_RET_INTR        | 55      | asm://bitcore/bits?between#between_(32f,8u,8u)
CTC_RET_Zx3         | 33      | asm://bitcore/bits?between#between_(32i,8u,8u)
CTC_RET_Zx3         | 33      | asm://bitcore/bits?between#between_(32u,8u,8u)
CTC_RET_INTR        | 61      | asm://bitcore/bits?between#between_(64f,8u,8u)
CTC_RET_Zx3         | 33      | asm://bitcore/bits?between#between_(64i,8u,8u)
CTC_RET_Zx3         | 33      | asm://bitcore/bits?between#between_(64u,8u,8u)
CTC_RET_Zx3         | 41      | asm://bitcore/bits?between#between_(8i,8u,8u)
CTC_RET_ZED_SBB     | 39      | asm://bitcore/bits?between#between_(8u,8u,8u)
CTC_RET_Zx3         | 46      | asm://bitcore/bits?bfly#bfly_(n1,16u)
CTC_RET_Zx3         | 30      | asm://bitcore/bits?bfly#bfly_(n1,32u)
CTC_RET_Zx3         | 50      | asm://bitcore/bits?bfly#bfly_(n1,64u)
CTC_RET_Zx3         | 42      | asm://bitcore/bits?bfly#bfly_(n1,8u)
CTC_RET_SBB         | 52      | asm://bitcore/bits?bfly#bfly_(n16,64u)
CTC_RET_SBB         | 48      | asm://bitcore/bits?bfly#bfly_(n2,16u)
CTC_RET_SBB         | 32      | asm://bitcore/bits?bfly#bfly_(n2,32u)
CTC_RET_SBB         | 52      | asm://bitcore/bits?bfly#bfly_(n2,64u)
CTC_RET_SBB         | 44      | asm://bitcore/bits?bfly#bfly_(n2,8u)
CTC_RET_SBB         | 48      | asm://bitcore/bits?bfly#bfly_(n4,16u)
CTC_RET_SBB         | 32      | asm://bitcore/bits?bfly#bfly_(n4,32u)
CTC_RET_SBB         | 52      | asm://bitcore/bits?bfly#bfly_(n4,64u)
CTC_RET_SBB         | 32      | asm://bitcore/bits?bfly#bfly_(n8,32u)
CTC_RET_SBB         | 52      | asm://bitcore/bits?bfly#bfly_(n8,64u)
CTC_RET_INTR        | 55      | asm://bitcore/bits?bitclear#bitclear_(16i,8u,8u)
CTC_RET_INTR        | 53      | asm://bitcore/bits?bitclear#bitclear_(16u,8u,8u)
CTC_RET_INTR        | 44      | asm://bitcore/bits?bitclear#bitclear_(32i,8u,8u)
CTC_RET_INTR        | 44      | asm://bitcore/bits?bitclear#bitclear_(32u,8u,8u)
CTC_RET_INTR        | 44      | asm://bitcore/bits?bitclear#bitclear_(64i,8u,8u)
