TermCode            | Size    | Uri
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x16u_8u-imm13
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x16u_8u-imm5
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x16u_8u-imm9
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x32u_8u-imm13
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x32u_8u-imm5
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x32u_8u-imm9
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x64u_8u-imm13
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x64u_8u-imm5
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x64u_8u-imm9
CTC_RET_INTR        | 87      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x8u_8u-imm13
CTC_RET_INTR        | 91      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x8u_8u-imm5
CTC_RET_INTR        | 87      | asm://logix/vector.ops_imm?rotl_g#rotl_gv128x8u_8u-imm9
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x16u_8u-imm13
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x16u_8u-imm5
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x16u_8u-imm9
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x32u_8u-imm13
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x32u_8u-imm5
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x32u_8u-imm9
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x64u_8u-imm13
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x64u_8u-imm5
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x64u_8u-imm9
CTC_RET_INTR        | 90      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x8u_8u-imm13
CTC_RET_INTR        | 94      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x8u_8u-imm5
CTC_RET_INTR        | 90      | asm://logix/vector.ops_imm?rotl_g#rotl_gv256x8u_8u-imm9
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x16u_8u-imm13
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x16u_8u-imm5
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x16u_8u-imm9
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x32u_8u-imm13
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x32u_8u-imm5
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x32u_8u-imm9
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x64u_8u-imm13
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x64u_8u-imm5
CTC_RET_INTR        | 37      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x64u_8u-imm9
CTC_RET_INTR        | 87      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x8u_8u-imm13
CTC_RET_INTR        | 91      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x8u_8u-imm5
CTC_RET_INTR        | 87      | asm://logix/vector.ops_imm?rotr_g#rotr_gv128x8u_8u-imm9
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x16u_8u-imm13
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x16u_8u-imm5
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x16u_8u-imm9
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x32u_8u-imm13
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x32u_8u-imm5
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x32u_8u-imm9
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x64u_8u-imm13
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x64u_8u-imm5
CTC_RET_INTR        | 40      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x64u_8u-imm9
CTC_RET_INTR        | 90      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x8u_8u-imm13
CTC_RET_INTR        | 94      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x8u_8u-imm5
CTC_RET_INTR        | 90      | asm://logix/vector.ops_imm?rotr_g#rotr_gv256x8u_8u-imm9
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x16u_8u-imm13
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x16u_8u-imm5
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x16u_8u-imm9
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x32u_8u-imm13
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x32u_8u-imm5
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x32u_8u-imm9
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x64u_8u-imm13
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x64u_8u-imm5
CTC_RET_INTR        | 20      | asm://logix/vector.ops_imm?sll_g#sll_gv128x64u_8u-imm9
