Sequence  | Address         | Length  | Host                          | OpId                                                        | OpName        | OpSig                                                                           | Data
0         | 7ff7c85e0d90h   | 147     | intrinsics/permute            | identity_g[8u](8u)                                          | identity      | Perm<byte> identity<byte>(byte n)                                               | 57 56 53 48 83 ec 40 33 c0 48 89 44 24 30 48 89 44 24 38 48 8b d9 0f b6 ca ff c9 0f b6 d1 33 c9 45 33 c0 48 8d 44 24 28 88 08 44 88 40 01 33 c9 4c 0f bf 44 24 28 e8 95 ef ff ff 48 8b c8 e8 ad ef ff ff 48 85 c0 75 06 33 d2 33 c9 eb 07 48 8d 50 10 8b 48 08 48 8d 44 24 30 48 89 10 89 48 08 48 8b fb 48 8d 74 24 30 e8 93 50 c8 5e 48 a5 48 8b c3 48 83 c4 40 5b 5e 5f c3 00 00 19 07 04 00 07 72 03 30 02 60 01 70 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c85e0e30h   | 147     | intrinsics/permute            | identity_g[16u](16u)                                        | identity      | Perm<ushort> identity<ushort>(ushort n)                                         | 57 56 53 48 83 ec 40 33 c0 48 89 44 24 30 48 89 44 24 38 48 8b d9 0f b7 ca ff c9 0f b7 d1 33 c9 45 33 c0 48 8d 44 24 28 88 08 66 44 89 40 02 33 c9 44 8b 44 24 28 e8 bd fc ff ff 48 8b c8 e8 d5 fc ff ff 48 85 c0 75 06 33 d2 33 c9 eb 07 48 8d 50 10 8b 48 08 48 8d 44 24 30 48 89 10 89 48 08 48 8b fb 48 8d 74 24 30 e8 f3 4f c8 5e 48 a5 48 8b c3 48 83 c4 40 5b 5e 5f c3 00 00 19 07 04 00 07 72 03 30 02 60 01 70 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c85e0ed0h   | 848     | intrinsics/permute            | identity_g[32u](32u)                                        | identity      | Perm<uint> identity<uint>(uint n)                                               | 57 56 53 48 83 ec 40 33 c0 48 89 44 24 30 48 89 44 24 38 48 8b d9 33 c9 ff ca 45 33 c0 48 8d 44 24 28 44 88 00 89 48 04 33 c9 4c 8b 44 24 28 e8 2c fe ff ff 48 8b c8 e8 44 fe ff ff 48 85 c0 75 06 33 d2 33 c9 eb 07 48 8d 50 10 8b 48 08 48 8d 44 24 30 48 89 10 89 48 08 48 8b fb 48 8d 74 24 30 e8 5a 4f c8 5e 48 a5 48 8b c3 48 83 c4 40 5b 5e 5f c3 00 19 07 04 00 07 72 03 30 02 60 01 70 40 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 e8 db 46 c8 5e 5e 00 00 d0 75 96 c8 f7 7f 00 00 e8 cb 46 c8 5e 5e 00 29 e8 c3 46 c8 5e 5e 01 28 e8 bb 46 c8 5e 5e 02 27 e8 b3 46 c8 5e 5e 03 26 e8 ab 46 c8 5e 5e 04 25 e8 a3 46 c8 5e 5e 05 24 e8 9b 46 c8 5e 5e 06 23 e8 93 46 c8 5e 5e 07 22 e8 8b 46 c8 5e 5e 08 21 e8 83 46 c8 5e 5e 09 20 e8 7b 46 c8 5e 5e 0a 1f e8 73 46 c8 5e 5e 0b 1e e8 6b 46 c8 5e 5e 0c 1d e8 63 46 c8 5e 5e 0d 1c e8 5b 46 c8 5e 5e 0e 1b e8 53 46 c8 5e 5e 0f 1a e8 4b 46 c8 5e 5e 10 19 e8 43 46 c8 5e 5e 11 18 e8 3b 46 c8 5e 5e 12 17 e8 33 46 c8 5e 5e 13 16 e8 2b 46 c8 5e 5e 14 15 e8 23 46 c8 5e 5e 15 14 e8 1b 46 c8 5e 5e 16 13 e8 13 46 c8 5e 5e 17 12 e8 0b 46 c8 5e 5e 18 11 e8 03 46 c8 5e 5e 19 10 e8 fb 45 c8 5e 5e 1a 0f e8 f3 45 c8 5e 5e 1b 0e e8 eb 45 c8 5e 5e 1c 0d e8 e3 45 c8 5e 5e 1d 0c e8 db 45 c8 5e 5e 1e 0b e8 d3 45 c8 5e 5e 1f 0a e8 cb 45 c8 5e 5e 20 09 e8 c3 45 c8 5e 5e 21 08 e8 bb 45 c8 5e 5e 22 07 e8 b3 45 c8 5e 5e 23 06 e8 ab 45 c8 5e 5e 24 05 e8 a3 45 c8 5e 5e 25 04 e8 9b 45 c8 5e 5e 26 03 e8 93 45 c8 5e 5e 27 02 e8 8b 45 c8 5e 5e 28 01 e8 83 45 c8 5e 5e 29 00 30 76 96 c8 f7 7f 00 00 e8 73 45 c8 5e 5e 00 00 80 79 96 c8 f7 7f 00 00 e8 63 45 c8 5e 5e 00 00 e0 79 96 c8 f7 7f 00 00 e8 53 45 c8 5e 5e 00 00 40 7a 96 c8 f7 7f 00 00 e8 43 45 c8 5e 5e 00 00 a0 7a 96 c8 f7 7f 00 00 e8 33 45 c8 5e 5e 00 00 00 7b 96 c8 f7 7f 00 00 e8 23 45 c8 5e 5e 00 00 60 7b 96 c8 f7 7f 00 00 e8 13 45 c8 5e 5e 00 02 e8 0b 45 c8 5e 5e 01 01 e8 03 45 c8 5e 5e 02 00 b0 7b 96 c8 f7 7f 00 00 e8 f3 44 c8 5e 5e 00 00 98 7c 96 c8 f7 7f 00 00 e8 e3 44 c8 5e 5e 00 00 f8 7c 96 c8 f7 7f 00 00 e8 d3 44 c8 5e 5e 00 00 58 7d 96 c8 f7 7f 00 00 e8 c3 44 c8 5e 5e 00 00 b8 7d 96 c8 f7 7f 00 00 e8 b3 44 c8 5e 5e 00 00 18 7e 96 c8 f7 7f 00 00 e8 a3 44 c8 5e 5e 00 00 78 7e 96 c8 f7 7f 00 00 e8 93 44 c8 5e 5e 00 00 d8 7e 96 c8 f7 7f 00 00 e8 83 44 c8 5e 5e 00 00 38 7f 96 c8 f7 7f 00 00 e8 73 44 c8 5e 5e 00 00 98 7f 96 c8 f7 7f 00 00 e8 63 44 c8 5e 5e 00 00 f8 7f 96 c8 f7 7f 00 00 e8 53 44 c8 5e 5e 00 00 58 80 96 c8 f7 7f 00 00 e8 43 44 c8 5e 5e 00 00 b8 80 96 c8 f7 7f 00 00 e8 33 44 c8 5e 5e 00 00 18 81 96 c8 f7 7f 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c85e1370h   | 199     | intrinsics/permute            | identity_g[64u](64u)                                        | identity      | Perm<ulong> identity<ulong>(ulong n)                                            | 57 56 53 48 83 ec 40 33 c0 48 89 44 24 30 48 89 44 24 38 48 8b d9 33 c9 48 ff ca 45 33 c0 48 8d 44 24 20 44 88 00 48 89 48 08 33 c9 4c 8d 44 24 20 e8 52 fd ff ff 48 8b c8 e8 6a fd ff ff 48 85 c0 75 06 33 d2 33 c9 eb 07 48 8d 50 10 8b 48 08 48 8d 44 24 30 48 89 10 89 48 08 48 8b fb 48 8d 74 24 30 e8 b8 4a c8 5e 48 a5 48 8b c3 48 83 c4 40 5b 5e 5f c3 00 00 00 19 07 04 00 07 72 03 30 02 60 01 70 40 00 00 00 f0 3d 97 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c1 0f b6 d2 c1 e2 02 0b c2 41 0f b6 d0 c1 e2 04 0b c2 41 0f b6 d1 c1 e2 06 0b c2 0f b6 c0 c3 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c85e1400h   | 55      | intrinsics/permute            | assemble_(Perm4L~8u,Perm4L~8u,Perm4L~8u,Perm4L~8u)          | assemble      | Perm4L:byte assemble(Perm4L:byte x0, Perm4L:byte x1, Perm4L:byte x2, Perm4L:byte x3)| 0f 1f 44 00 00 0f b6 c1 0f b6 d2 c1 e2 02 0b c2 41 0f b6 d0 c1 e2 04 0b c2 41 0f b6 d1 c1 e2 06 0b c2 0f b6 c0 c3 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c85e1440h   | 423     | intrinsics/permute            | assemble_(Perm8L~32u,Perm8L~32u,Perm8L~32u,Perm8L~32u,Perm8L~32u,Perm8L~32u,Perm8L~32u,Perm8L~32u)| assemble      | Perm8L:uint assemble(Perm8L:uint x0, Perm8L:uint x1, Perm8L:uint x2, Perm8L:uint x3, Perm8L:uint x4, Perm8L:uint x5, Perm8L:uint x6, Perm8L:uint x7)| 0f 1f 44 00 00 c1 e2 03 0b d1 41 c1 e0 06 41 0b d0 41 c1 e1 09 41 0b d1 8b 44 24 28 c1 e0 0c 0b c2 8b 54 24 30 c1 e2 0f 0b c2 8b 54 24 38 c1 e2 12 0b c2 8b 54 24 40 c1 e2 15 0b c2 c3 00 00 00 19 00 00 00 40 00 00 00 d8 3e 97 c8 f7 7f 00 00 0f 1f 44 00 00 48 c1 e2 04 48 0b d1 49 c1 e0 08 49 0b d0 49 c1 e1 0c 49 0b d1 48 8b 44 24 28 48 c1 e0 10 48 0b c2 48 8b 54 24 30 48 c1 e2 14 48 0b c2 48 8b 54 24 38 48 c1 e2 18 48 0b c2 48 8b 54 24 40 48 c1 e2 1c 48 0b c2 48 8b 54 24 48 48 c1 e2 20 48 0b c2 48 8b 54 24 50 48 c1 e2 24 48 0b c2 48 8b 54 24 58 48 c1 e2 28 48 0b c2 48 8b 54 24 60 48 c1 e2 2c 48 0b c2 48 8b 54 24 68 48 c1 e2 30 48 0b c2 48 8b 54 24 70 48 c1 e2 34 48 0b c2 48 8b 54 24 78 48 c1 e2 38 48 0b c2 48 8b 94 24 80 00 00 00 48 c1 e2 3c 48 0b c2 c3 00 00 19 00 00 00 40 00 00 00 60 40 97 c8 f7 7f 00 00 0f 1f 44 00 00 d1 e2 0f b6 c2 8d 50 01 0f b6 d2 0f b6 c9 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 0f b6 c0 41 88 00 41 0f b6 00 83 f8 03 0f 9e c0 0f b6 c0 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 58 41 97 c8 f7 7f 00 00 0f 1f 44 00 00 8d 04 52 0f b6 c0 8d 50 02 0f b6 d2 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 41 89 00 41 8b 00 83 f8 07 0f 96 c0 0f b6 c0 c3 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c85e1490h   | 343     | intrinsics/permute            | assemble_(Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u,Perm16L~64u)| assemble      | Perm16L:ulong assemble(Perm16L:ulong x0, Perm16L:ulong x1, Perm16L:ulong x2, Perm16L:ulong x3, Perm16L:ulong x4, Perm16L:ulong x5, Perm16L:ulong x6, Perm16L:ulong x7, Perm16L:ulong x8, Perm16L:ulong x9, Perm16L:ulong xA, Perm16L:ulong xB, Perm16L:ulong xC, Perm16L:ulong xD, Perm16L:ulong xE, Perm16L:ulong xF)| 0f 1f 44 00 00 48 c1 e2 04 48 0b d1 49 c1 e0 08 49 0b d0 49 c1 e1 0c 49 0b d1 48 8b 44 24 28 48 c1 e0 10 48 0b c2 48 8b 54 24 30 48 c1 e2 14 48 0b c2 48 8b 54 24 38 48 c1 e2 18 48 0b c2 48 8b 54 24 40 48 c1 e2 1c 48 0b c2 48 8b 54 24 48 48 c1 e2 20 48 0b c2 48 8b 54 24 50 48 c1 e2 24 48 0b c2 48 8b 54 24 58 48 c1 e2 28 48 0b c2 48 8b 54 24 60 48 c1 e2 2c 48 0b c2 48 8b 54 24 68 48 c1 e2 30 48 0b c2 48 8b 54 24 70 48 c1 e2 34 48 0b c2 48 8b 54 24 78 48 c1 e2 38 48 0b c2 48 8b 94 24 80 00 00 00 48 c1 e2 3c 48 0b c2 c3 00 00 19 00 00 00 40 00 00 00 60 40 97 c8 f7 7f 00 00 0f 1f 44 00 00 d1 e2 0f b6 c2 8d 50 01 0f b6 d2 0f b6 c9 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 0f b6 c0 41 88 00 41 0f b6 00 83 f8 03 0f 9e c0 0f b6 c0 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 58 41 97 c8 f7 7f 00 00 0f 1f 44 00 00 8d 04 52 0f b6 c0 8d 50 02 0f b6 d2 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 41 89 00 41 8b 00 83 f8 07 0f 96 c0 0f b6 c0 c3 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c85e1550h   | 151     | intrinsics/permute            | literal_(Perm4L~8u,32i,Perm4L~8u~out)                       | literal       | bit literal(Perm4L:byte src, int index, out Perm4L:byte dst)                    | 0f 1f 44 00 00 d1 e2 0f b6 c2 8d 50 01 0f b6 d2 0f b6 c9 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 0f b6 c0 41 88 00 41 0f b6 00 83 f8 03 0f 9e c0 0f b6 c0 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 58 41 97 c8 f7 7f 00 00 0f 1f 44 00 00 8d 04 52 0f b6 c0 8d 50 02 0f b6 d2 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 41 89 00 41 8b 00 83 f8 07 0f 96 c0 0f b6 c0 c3 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c85e15a0h   | 71      | intrinsics/permute            | literal_(Perm8L~32u,32i,Perm8L~32u~out)                     | literal       | bit literal(Perm8L:uint src, int index, out Perm8L:uint dst)                    | 0f 1f 44 00 00 8d 04 52 0f b6 c0 8d 50 02 0f b6 d2 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 78 f7 c1 41 89 00 41 8b 00 83 f8 07 0f 96 c0 0f b6 c0 c3 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c85e15f0h   | 71      | intrinsics/permute            | literal_(Perm16L~64u,32i,Perm16L~64u~out)                   | literal       | bit literal(Perm16L:ulong src, int index, out Perm16L:ulong dst)                | 0f 1f 44 00 00 c1 e2 02 0f b6 c2 8d 50 03 0f b6 d2 2b d0 ff c2 0f b6 d2 c1 e2 08 0b c2 0f b7 c0 c4 e2 f8 f7 c1 49 89 00 49 8b 00 48 83 f8 0f 0f 96 c0 0f b6 c0 c3 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
