Sequence  | Address         | Length  | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c80e0c30h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[8u](32i)                                                            | Span<byte> alloc<byte>(int len)                                                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 10 ea 70 c7 f7 7f 00 00 e8 96 61 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c80e3780h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[8i](32i)                                                            | Span<sbyte> alloc<sbyte>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 98 f0 70 c7 f7 7f 00 00 e8 46 36 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c80e37d0h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[16u](32i)                                                           | Span<ushort> alloc<ushort>(int len)                                                                           | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 b8 69 0d c8 f7 7f 00 00 e8 f6 35 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c80e3820h   | 1096    | hex://asmcore/AsmConstructs?alloc#alloc_g[16i](32i)                                                           | Span<short> alloc<short>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 b8 6f 0d c8 f7 7f 00 00 e8 a6 35 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 e8 d3 1d 18 5f 5e 00 03 e8 cb 1d 18 5f 5e 03 02 e8 c3 1d 18 5f 5e 06 01 e8 bb 1d 18 5f 5e 09 00 80 73 0d c8 f7 7f 00 00 e8 ab 1d 18 5f 5e 00 00 10 75 0d c8 f7 7f 00 00 e8 9b 1d 18 5f 5e 00 00 70 75 0d c8 f7 7f 00 00 e8 8b 1d 18 5f 5e 00 00 d0 75 0d c8 f7 7f 00 00 e8 7b 1d 18 5f 5e 00 00 30 76 0d c8 f7 7f 00 00 e9 cb 06 00 00 5f 00 00 90 76 0d c8 f7 7f 00 00 e9 7b 09 00 00 5f 00 00 f0 76 0d c8 f7 7f 00 00 e8 4b 1d 18 5f 5e 00 00 50 77 0d c8 f7 7f 00 00 e8 3b 1d 18 5f 5e 00 01 e8 33 1d 18 5f 5e 01 00 b0 77 0d c8 f7 7f 00 00 e8 23 1d 18 5f 5e 00 1b e8 1b 1d 18 5f 5e 01 1a e8 13 1d 18 5f 5e 02 19 e8 0b 1d 18 5f 5e 03 18 e8 03 1d 18 5f 5e 04 17 e8 fb 1c 18 5f 5e 05 16 e8 f3 1c 18 5f 5e 06 15 e8 eb 1c 18 5f 5e 07 14 e8 e3 1c 18 5f 5e 08 13 e8 db 1c 18 5f 5e 09 12 e8 d3 1c 18 5f 5e 0a 11 e8 cb 1c 18 5f 5e 0b 10 e8 c3 1c 18 5f 5e 0c 0f e8 bb 1c 18 5f 5e 0d 0e e8 b3 1c 18 5f 5e 0e 0d e8 ab 1c 18 5f 5e 0f 0c e8 a3 1c 18 5f 5e 10 0b e8 9b 1c 18 5f 5e 11 0a e8 93 1c 18 5f 5e 12 09 e8 8b 1c 18 5f 5e 13 08 e8 83 1c 18 5f 5e 14 07 e8 7b 1c 18 5f 5e 15 06 e8 73 1c 18 5f 5e 16 05 e8 6b 1c 18 5f 5e 17 04 e8 63 1c 18 5f 5e 18 03 e8 5b 1c 18 5f 5e 19 02 e8 53 1c 18 5f 5e 1a 01 e8 4b 1c 18 5f 5e 1b 00 80 78 0d c8 f7 7f 00 00 e8 3b 1c 18 5f 5e 00 03 e8 33 1c 18 5f 5e 03 02 e8 2b 1c 18 5f 5e 06 01 e8 23 1c 18 5f 5e 09 00 20 7c 0d c8 f7 7f 00 00 e8 13 1c 18 5f 5e 00 00 f0 7c 0d c8 f7 7f 00 00 e8 03 1c 18 5f 5e 00 00 50 7d 0d c8 f7 7f 00 00 e8 f3 1b 18 5f 5e 00 01 e8 eb 1b 18 5f 5e 01 00 b0 7d 0d c8 f7 7f 00 00 e8 db 1b 18 5f 5e 00 1b e8 d3 1b 18 5f 5e 01 1a e8 cb 1b 18 5f 5e 02 19 e8 c3 1b 18 5f 5e 03 18 e8 bb 1b 18 5f 5e 04 17 e8 b3 1b 18 5f 5e 05 16 e8 ab 1b 18 5f 5e 06 15 e8 a3 1b 18 5f 5e 07 14 e8 9b 1b 18 5f 5e 08 13 e8 93 1b 18 5f 5e 09 12 e8 8b 1b 18 5f 5e 0a 11 e8 83 1b 18 5f 5e 0b 10 e8 7b 1b 18 5f 5e 0c 0f e8 73 1b 18 5f 5e 0d 0e e8 6b 1b 18 5f 5e 0e 0d e8 63 1b 18 5f 5e 0f 0c e8 5b 1b 18 5f 5e 10 0b e8 53 1b 18 5f 5e 11 0a e8 4b 1b 18 5f 5e 12 09 e8 43 1b 18 5f 5e 13 08 e8 3b 1b 18 5f 5e 14 07 e8 33 1b 18 5f 5e 15 06 e8 2b 1b 18 5f 5e 16 05 e8 23 1b 18 5f 5e 17 04 e8 1b 1b 18 5f 5e 18 03 e8 13 1b 18 5f 5e 19 02 e8 0b 1b 18 5f 5e 1a 01 e8 03 1b 18 5f 5e 1b 00 80 7e 0d c8 f7 7f 00 00 e8 f3 1a 18 5f 5e 00 00 e8 80 0d c8 f7 7f 00 00 e9 73 0c 00 00 5f 00 00 48 81 0d c8 f7 7f 00 00 e8 d3 1a 18 5f 5e 00 00 a8 81 0d c8 f7 7f 00 00 e8 c3 1a 18 5f 5e 00 01 e8 bb 1a 18 5f 5e 01 00 08 82 0d c8 f7 7f 00 00 e8 ab 1a 18 5f 5e 00 00 40 85 0d c8 f7 7f 00 00 e8 9b 1a 18 5f 5e 00 00 a0 85 0d c8 f7 7f 00 00 e8 8b 1a 18 5f 5e 00 00 18 86 0d c8 f7 7f 00 00 e8 7b 1a 18 5f 5e 00 00 90 86 0d c8 f7 7f 00 00 e8 6b 1a 18 5f 5e 00 10 e8 63 1a 18 5f 5e 01 0f e8 5b 1a 18 5f 5e 02 0e e8 53 1a 18 5f 5e 05 0d e8 4b 1a 18 5f 5e 06 0c e8 43 1a 18 5f 5e 07 0b e8 3b 1a 18 5f 5e 0a 0a e8 33 1a 18 5f 5e 0d 09 e8 2b 1a 18 5f 5e 10 08 e8 23 1a 18 5f 5e 11 07 e8 1b 1a 18 5f 5e 12 06 e8 13 1a 18 5f 5e 13 05 e8 0b 1a 18 5f 5e 14 04 e8 03 1a 18 5f 5e 15 03 e8 fb 19 18 5f 5e 16 02 e8 f3 19 18 5f 5e 17 01 e8 eb 19 18 5f 5e 18 00 e8 86 0d c8 f7 7f 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c80e3c70h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[32u](32i)                                                           | Span<uint> alloc<uint>(int len)                                                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 98 72 0d c8 f7 7f 00 00 e8 56 31 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c80e3de0h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[32i](32i)                                                           | Span<int> alloc<int>(int len)                                                                                 | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 48 5f 7d c7 f7 7f 00 00 e8 e6 2f 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c80e3e30h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[64u](32i)                                                           | Span<ulong> alloc<ulong>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 a8 14 a8 c7 f7 7f 00 00 e8 96 2f 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c80e40c0h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[64i](32i)                                                           | Span<long> alloc<long>(int len)                                                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 38 7b 0d c8 f7 7f 00 00 e8 06 2d 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c80e4210h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[32f](32i)                                                           | Span<float> alloc<float>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 48 6c b9 c7 f7 7f 00 00 e8 b6 2b 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c80e4780h   | 67      | hex://asmcore/AsmConstructs?alloc#alloc_g[64f](32i)                                                           | Span<double> alloc<double>(int len)                                                                           | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 50 6e b9 c7 f7 7f 00 00 e8 46 26 18 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
