Sequence  | Address         | Length  | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c86b28d0h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[8u](8u~in)                                                          | Span<byte> GetBytes<byte>(in byte src)                                                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 01 00 00 00 e8 f0 44 bb 5e 48 83 c0 10 ba 01 00 00 00 0f b6 0f 88 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c86b2930h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[8i](8i~in)                                                          | Span<byte> GetBytes<sbyte>(in sbyte src)                                                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 01 00 00 00 e8 90 44 bb 5e 48 83 c0 10 ba 01 00 00 00 48 0f be 0f 88 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c86b2990h   | 1112    | hex://root/bitconvert?GetBytes#GetBytes_g[16u](16u~in)                                                        | Span<byte> GetBytes<ushort>(in ushort src)                                                                    | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 02 00 00 00 e8 30 44 bb 5e 48 83 c0 10 ba 02 00 00 00 0f b7 0f 66 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 02 00 00 00 00 00 00 00 e8 53 2c bb 5e 5e 00 00 20 6b c3 c8 f7 7f 00 00 e8 43 2c bb 5e 5e 00 00 80 6b c3 c8 f7 7f 00 00 e8 33 2c bb 5e 5e 00 00 e0 6b c3 c8 f7 7f 00 00 e8 23 2c bb 5e 5e 00 00 40 6c c3 c8 f7 7f 00 00 e8 13 2c bb 5e 5e 00 00 a0 6c c3 c8 f7 7f 00 00 e8 03 2c bb 5e 5e 00 00 00 6d c3 c8 f7 7f 00 00 e8 f3 2b bb 5e 5e 00 00 60 6d c3 c8 f7 7f 00 00 e8 e3 2b bb 5e 5e 00 00 c0 6d c3 c8 f7 7f 00 00 e8 d3 2b bb 5e 5e 00 00 20 6e c3 c8 f7 7f 00 00 e8 c3 2b bb 5e 5e 00 00 80 6e c3 c8 f7 7f 00 00 e8 b3 2b bb 5e 5e 00 00 e0 6e c3 c8 f7 7f 00 00 e8 a3 2b bb 5e 5e 00 00 40 6f c3 c8 f7 7f 00 00 e8 93 2b bb 5e 5e 00 00 a0 6f c3 c8 f7 7f 00 00 e8 83 2b bb 5e 5e 00 00 00 70 c3 c8 f7 7f 00 00 e8 73 2b bb 5e 5e 00 00 60 70 c3 c8 f7 7f 00 00 e8 63 2b bb 5e 5e 00 00 c0 70 c3 c8 f7 7f 00 00 e8 53 2b bb 5e 5e 00 00 20 71 c3 c8 f7 7f 00 00 e8 43 2b bb 5e 5e 00 00 80 71 c3 c8 f7 7f 00 00 e8 33 2b bb 5e 5e 00 00 e0 71 c3 c8 f7 7f 00 00 e8 23 2b bb 5e 5e 00 01 e8 1b 2b bb 5e 5e 01 00 48 73 c3 c8 f7 7f 00 00 e8 0b 2b bb 5e 5e 00 18 e8 03 2b bb 5e 5e 01 17 e8 fb 2a bb 5e 5e 02 16 e8 f3 2a bb 5e 5e 03 15 e8 eb 2a bb 5e 5e 04 14 e8 e3 2a bb 5e 5e 05 13 e8 db 2a bb 5e 5e 06 12 e8 d3 2a bb 5e 5e 07 11 e8 cb 2a bb 5e 5e 08 10 e8 c3 2a bb 5e 5e 09 0f e8 bb 2a bb 5e 5e 0a 0e e8 b3 2a bb 5e 5e 0b 0d e8 ab 2a bb 5e 5e 0c 0c e8 a3 2a bb 5e 5e 0d 0b e8 9b 2a bb 5e 5e 0e 0a e8 93 2a bb 5e 5e 0f 09 e8 8b 2a bb 5e 5e 10 08 e8 83 2a bb 5e 5e 11 07 e8 7b 2a bb 5e 5e 12 06 e8 73 2a bb 5e 5e 13 05 e8 6b 2a bb 5e 5e 14 04 e8 63 2a bb 5e 5e 15 03 e8 5b 2a bb 5e 5e 16 02 e8 53 2a bb 5e 5e 17 01 e8 4b 2a bb 5e 5e 18 00 50 72 c3 c8 f7 7f 00 00 e8 3b 2a bb 5e 5e 00 00 48 75 c3 c8 f7 7f 00 00 e8 2b 2a bb 5e 5e 00 00 a8 75 c3 c8 f7 7f 00 00 e8 1b 2a bb 5e 5e 00 00 08 76 c3 c8 f7 7f 00 00 e8 0b 2a bb 5e 5e 00 00 68 76 c3 c8 f7 7f 00 00 e8 fb 29 bb 5e 5e 00 00 c8 76 c3 c8 f7 7f 00 00 e8 eb 29 bb 5e 5e 00 00 28 77 c3 c8 f7 7f 00 00 e8 db 29 bb 5e 5e 00 00 88 77 c3 c8 f7 7f 00 00 e8 cb 29 bb 5e 5e 00 00 e8 77 c3 c8 f7 7f 00 00 e8 bb 29 bb 5e 5e 00 00 48 78 c3 c8 f7 7f 00 00 e8 ab 29 bb 5e 5e 00 00 a8 78 c3 c8 f7 7f 00 00 e8 9b 29 bb 5e 5e 00 00 08 79 c3 c8 f7 7f 00 00 e8 8b 29 bb 5e 5e 00 00 68 79 c3 c8 f7 7f 00 00 e8 7b 29 bb 5e 5e 00 00 c8 79 c3 c8 f7 7f 00 00 e8 6b 29 bb 5e 5e 00 00 28 7a c3 c8 f7 7f 00 00 e8 5b 29 bb 5e 5e 00 00 88 7a c3 c8 f7 7f 00 00 e8 4b 29 bb 5e 5e 00 00 e8 7a c3 c8 f7 7f 00 00 e8 3b 29 bb 5e 5e 00 00 48 7b c3 c8 f7 7f 00 00 e8 2b 29 bb 5e 5e 00 00 a8 7b c3 c8 f7 7f 00 00 e8 1b 29 bb 5e 5e 00 00 08 7c c3 c8 f7 7f 00 00 e8 0b 29 bb 5e 5e 00 00 68 7c c3 c8 f7 7f 00 00 e8 fb 28 bb 5e 5e 00 00 c8 7c c3 c8 f7 7f 00 00 e8 eb 28 bb 5e 5e 00 00 28 7d c3 c8 f7 7f 00 00 e8 db 28 bb 5e 5e 00 00 88 7d c3 c8 f7 7f 00 00 e8 cb 28 bb 5e 5e 00 00 e8 7d c3 c8 f7 7f 00 00 e8 bb 28 bb 5e 5e 00 00 48 7e c3 c8 f7 7f 00 00 e8 ab 28 bb 5e 5e 00 00 a8 7e c3 c8 f7 7f 00 00 e8 9b 28 bb 5e 5e 00 00 08 7f c3 c8 f7 7f 00 00 e8 8b 28 bb 5e 5e 00 00 68 7f c3 c8 f7 7f 00 00 e8 7b 28 bb 5e 5e 00 00 c8 7f c3 c8 f7 7f 00 00 e8 6b 28 bb 5e 5e 00 00 28 80 c3 c8 f7 7f 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c86b2df0h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[16i](16i~in)                                                        | Span<byte> GetBytes<short>(in short src)                                                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 02 00 00 00 e8 d0 3f bb 5e 48 83 c0 10 ba 02 00 00 00 48 0f bf 0f 66 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c86b2e50h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[32u](32u~in)                                                        | Span<byte> GetBytes<uint>(in uint src)                                                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 04 00 00 00 e8 70 3f bb 5e 48 83 c0 10 ba 04 00 00 00 8b 0f 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c86b2eb0h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[32i](32i~in)                                                        | Span<byte> GetBytes<int>(in int src)                                                                          | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 04 00 00 00 e8 10 3f bb 5e 48 83 c0 10 ba 04 00 00 00 8b 0f 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c86b2f10h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[64u](64u~in)                                                        | Span<byte> GetBytes<ulong>(in ulong src)                                                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 08 00 00 00 e8 b0 3e bb 5e 48 83 c0 10 ba 08 00 00 00 48 8b 0f 48 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c86b2f70h   | 87      | hex://root/bitconvert?GetBytes#GetBytes_g[64i](64i~in)                                                        | Span<byte> GetBytes<long>(in long src)                                                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 08 00 00 00 e8 50 3e bb 5e 48 83 c0 10 ba 08 00 00 00 48 8b 0f 48 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c86b2fd0h   | 435     | hex://root/bitconvert?GetBytes#GetBytes_g[32f](32f~in)                                                        | Span<byte> GetBytes<float>(in float src)                                                                      | 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 04 00 00 00 e8 ed 3d bb 5e 48 83 c0 10 ba 04 00 00 00 c5 fa 10 07 c5 fa 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 cc cc 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 18 d3 c2 c8 f7 7f 00 00 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 08 00 00 00 e8 8d 3d bb 5e 48 83 c0 10 ba 08 00 00 00 c5 fb 10 07 c5 fb 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 cc cc 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 c0 d4 c2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 bc 21 0b ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 90 d5 c2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 6c 21 0b ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 18 d6 c2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 b6 ca cd 5e e8 11 21 0b ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c86b3030h   | 339     | hex://root/bitconvert?GetBytes#GetBytes_g[64f](64f~in)                                                        | Span<byte> GetBytes<double>(in double src)                                                                    | 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 72 c7 f7 7f 00 00 ba 08 00 00 00 e8 8d 3d bb 5e 48 83 c0 10 ba 08 00 00 00 c5 fb 10 07 c5 fb 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 cc cc 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 c0 d4 c2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 bc 21 0b ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 90 d5 c2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 6c 21 0b ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 18 d6 c2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 b6 ca cd 5e e8 11 21 0b ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
