Sequence  | Address         | Length  | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c86a2240h   | 355     | hex://vfuncs/direct?vstore#vstore_(v128x8i,8i~ref)                                                            | void vstore(Vector128<sbyte> src, ref sbyte dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 0b c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 90 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 30 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 80 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c86a2260h   | 323     | hex://vfuncs/direct?vstore#vstore_(v128x8u,8u~ref)                                                            | void vstore(Vector128<byte> src, ref byte dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 90 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 30 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 80 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c86a2280h   | 291     | hex://vfuncs/direct?vstore#vstore_(v128x16i,16i~ref)                                                          | void vstore(Vector128<short> src, ref short dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 90 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 30 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 80 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c86a22a0h   | 259     | hex://vfuncs/direct?vstore#vstore_(v128x16u,16u~ref)                                                          | void vstore(Vector128<ushort> src, ref ushort dst)                                                            | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 0c c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 30 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 80 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c86a22c0h   | 227     | hex://vfuncs/direct?vstore#vstore_(v128x32i,32i~ref)                                                          | void vstore(Vector128<int> src, ref int dst)                                                                  | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 30 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 80 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c86a22e0h   | 195     | hex://vfuncs/direct?vstore#vstore_(v128x32u,32u~ref)                                                          | void vstore(Vector128<uint> src, ref uint dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 80 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c86a2300h   | 163     | hex://vfuncs/direct?vstore#vstore_(v128x64i,64i~ref)                                                          | void vstore(Vector128<long> src, ref long dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 d0 0d c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c86a2320h   | 131     | hex://vfuncs/direct?vstore#vstore_(v128x64u,64u~ref)                                                          | void vstore(Vector128<ulong> src, ref ulong dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 20 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c86a2340h   | 99      | hex://vfuncs/direct?vstore#vstore_(v128x32f,32f~ref)                                                          | void vstore(Vector128<float> src, ref float dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 70 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c86a2360h   | 67      | hex://vfuncs/direct?vstore#vstore_(v128x64f,64f~ref)                                                          | void vstore(Vector128<double> src, ref double dst)                                                            | c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 c0 0e c9 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
