Sequence  | Address         | Length  | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8585f70h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[8u](8u~in)                                                          | Span<byte> GetBytes<byte>(in byte src)                                                                        | 0f 1f 44 00 00 48 89 11 c7 41 08 01 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c8585fa0h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[8i](8i~in)                                                          | Span<byte> GetBytes<sbyte>(in sbyte src)                                                                      | 0f 1f 44 00 00 48 89 11 c7 41 08 01 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c8585fd0h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[16u](16u~in)                                                        | Span<byte> GetBytes<ushort>(in ushort src)                                                                    | 0f 1f 44 00 00 48 89 11 c7 41 08 02 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c8586000h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[16i](16i~in)                                                        | Span<byte> GetBytes<short>(in short src)                                                                      | 0f 1f 44 00 00 48 89 11 c7 41 08 02 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c8586030h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[32u](32u~in)                                                        | Span<byte> GetBytes<uint>(in uint src)                                                                        | 0f 1f 44 00 00 48 89 11 c7 41 08 04 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c8586060h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[32i](32i~in)                                                        | Span<byte> GetBytes<int>(in int src)                                                                          | 0f 1f 44 00 00 48 89 11 c7 41 08 04 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c8586090h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[64u](64u~in)                                                        | Span<byte> GetBytes<ulong>(in ulong src)                                                                      | 0f 1f 44 00 00 48 89 11 c7 41 08 08 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c85860c0h   | 1064    | hex://root/bitconvert?GetBytes#GetBytes_g[64i](64i~in)                                                        | Span<byte> GetBytes<long>(in long src)                                                                        | 0f 1f 44 00 00 48 89 11 c7 41 08 08 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 e8 53 f5 cd 5e 5e 00 00 58 51 8a c8 f7 7f 00 00 e8 43 f5 cd 5e 5e 00 00 b8 51 8a c8 f7 7f 00 00 e8 33 f5 cd 5e 5e 00 00 18 52 8a c8 f7 7f 00 00 e8 23 f5 cd 5e 5e 00 00 78 52 8a c8 f7 7f 00 00 e8 13 f5 cd 5e 5e 00 00 d8 52 8a c8 f7 7f 00 00 e8 03 f5 cd 5e 5e 00 00 38 53 8a c8 f7 7f 00 00 e8 f3 f4 cd 5e 5e 00 00 98 53 8a c8 f7 7f 00 00 e8 e3 f4 cd 5e 5e 00 00 f8 53 8a c8 f7 7f 00 00 e8 d3 f4 cd 5e 5e 00 00 58 54 8a c8 f7 7f 00 00 e8 c3 f4 cd 5e 5e 00 01 e8 bb f4 cd 5e 5e 01 00 c0 55 8a c8 f7 7f 00 00 e8 ab f4 cd 5e 5e 00 18 e8 a3 f4 cd 5e 5e 01 17 e8 9b f4 cd 5e 5e 02 16 e8 93 f4 cd 5e 5e 03 15 e8 8b f4 cd 5e 5e 04 14 e8 83 f4 cd 5e 5e 05 13 e8 7b f4 cd 5e 5e 06 12 e8 73 f4 cd 5e 5e 07 11 e8 6b f4 cd 5e 5e 08 10 e8 63 f4 cd 5e 5e 09 0f e8 5b f4 cd 5e 5e 0a 0e e8 53 f4 cd 5e 5e 0b 0d e8 4b f4 cd 5e 5e 0c 0c e8 43 f4 cd 5e 5e 0d 0b e8 3b f4 cd 5e 5e 0e 0a e8 33 f4 cd 5e 5e 0f 09 e8 2b f4 cd 5e 5e 10 08 e8 23 f4 cd 5e 5e 11 07 e8 1b f4 cd 5e 5e 12 06 e8 13 f4 cd 5e 5e 13 05 e8 0b f4 cd 5e 5e 14 04 e8 03 f4 cd 5e 5e 15 03 e8 fb f3 cd 5e 5e 16 02 e8 f3 f3 cd 5e 5e 17 01 e8 eb f3 cd 5e 5e 18 00 c8 54 8a c8 f7 7f 00 00 e8 db f3 cd 5e 5e 00 00 c0 57 8a c8 f7 7f 00 00 e8 cb f3 cd 5e 5e 00 00 20 58 8a c8 f7 7f 00 00 e8 bb f3 cd 5e 5e 00 00 80 58 8a c8 f7 7f 00 00 e8 ab f3 cd 5e 5e 00 00 e0 58 8a c8 f7 7f 00 00 e8 9b f3 cd 5e 5e 00 00 40 59 8a c8 f7 7f 00 00 e8 8b f3 cd 5e 5e 00 00 a0 59 8a c8 f7 7f 00 00 e8 7b f3 cd 5e 5e 00 00 00 5a 8a c8 f7 7f 00 00 e8 6b f3 cd 5e 5e 00 00 60 5a 8a c8 f7 7f 00 00 e8 5b f3 cd 5e 5e 00 00 c0 5a 8a c8 f7 7f 00 00 e8 4b f3 cd 5e 5e 00 00 20 5b 8a c8 f7 7f 00 00 e8 3b f3 cd 5e 5e 00 00 80 5b 8a c8 f7 7f 00 00 e8 2b f3 cd 5e 5e 00 00 e0 5b 8a c8 f7 7f 00 00 e8 1b f3 cd 5e 5e 00 00 40 5c 8a c8 f7 7f 00 00 e8 0b f3 cd 5e 5e 00 00 a0 5c 8a c8 f7 7f 00 00 e8 fb f2 cd 5e 5e 00 00 00 5d 8a c8 f7 7f 00 00 e8 eb f2 cd 5e 5e 00 00 60 5d 8a c8 f7 7f 00 00 e8 db f2 cd 5e 5e 00 00 c0 5d 8a c8 f7 7f 00 00 e8 cb f2 cd 5e 5e 00 00 20 5e 8a c8 f7 7f 00 00 e8 bb f2 cd 5e 5e 00 00 80 5e 8a c8 f7 7f 00 00 e8 ab f2 cd 5e 5e 00 00 e0 5e 8a c8 f7 7f 00 00 e8 9b f2 cd 5e 5e 00 00 40 5f 8a c8 f7 7f 00 00 e8 8b f2 cd 5e 5e 00 00 a0 5f 8a c8 f7 7f 00 00 e8 7b f2 cd 5e 5e 00 00 00 60 8a c8 f7 7f 00 00 e8 6b f2 cd 5e 5e 00 00 60 60 8a c8 f7 7f 00 00 e8 5b f2 cd 5e 5e 00 00 c0 60 8a c8 f7 7f 00 00 e8 4b f2 cd 5e 5e 00 00 20 61 8a c8 f7 7f 00 00 e8 3b f2 cd 5e 5e 00 00 80 61 8a c8 f7 7f 00 00 e8 2b f2 cd 5e 5e 00 00 e0 61 8a c8 f7 7f 00 00 e8 1b f2 cd 5e 5e 00 00 40 62 8a c8 f7 7f 00 00 e8 0b f2 cd 5e 5e 00 00 a0 62 8a c8 f7 7f 00 00 e8 fb f1 cd 5e 5e 00 00 00 63 8a c8 f7 7f 00 00 e8 eb f1 cd 5e 5e 00 00 60 63 8a c8 f7 7f 00 00 e8 db f1 cd 5e 5e 00 00 c0 63 8a c8 f7 7f 00 00 e8 cb f1 cd 5e 5e 00 00 20 64 8a c8 f7 7f 00 00 e8 bb f1 cd 5e 5e 00 00 80 64 8a c8 f7 7f 00 00 e8 ab f1 cd 5e 5e 00 00 e0 64 8a c8 f7 7f 00 00 e8 9b f1 cd 5e 5e 00 00 40 65 8a c8 f7 7f 00 00 e8 8b f1 cd 5e 5e 00 00 a0 65 8a c8 f7 7f 00 00 e8 7b f1 cd 5e 5e 00 00 00 66 8a c8 f7 7f 00 00 e8 6b f1 cd 5e 5e 00 00 60 66 8a c8 f7 7f 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c85864f0h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[32f](32f~in)                                                        | Span<byte> GetBytes<float>(in float src)                                                                      | 0f 1f 44 00 00 48 89 11 c7 41 08 04 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c8586520h   | 35      | hex://root/bitconvert?GetBytes#GetBytes_g[64f](64f~in)                                                        | Span<byte> GetBytes<double>(in double src)                                                                    | 0f 1f 44 00 00 48 89 11 c7 41 08 08 00 00 00 48 8b c1 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
