Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c80d1310h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[8u](32i)                                                            | Span<byte> alloc<byte>(int len)                                                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 10 ea 70 c7 f7 7f 00 00 e8 b6 5a 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
1         | 7ff7c80d3e50h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[8i](32i)                                                            | Span<sbyte> alloc<sbyte>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 98 f0 70 c7 f7 7f 00 00 e8 76 2f 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
2         | 7ff7c80d3ea0h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[16u](32i)                                                           | Span<ushort> alloc<ushort>(int len)                                                                           | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 38 5e 15 c8 f7 7f 00 00 e8 26 2f 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
3         | 7ff7c80d3ef0h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[16i](32i)                                                           | Span<short> alloc<short>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 38 64 15 c8 f7 7f 00 00 e8 d6 2e 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
4         | 7ff7c80d3f40h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[32u](32i)                                                           | Span<uint> alloc<uint>(int len)                                                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 18 67 15 c8 f7 7f 00 00 e8 86 2e 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
5         | 7ff7c80d44c0h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[32i](32i)                                                           | Span<int> alloc<int>(int len)                                                                                 | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 48 5f 7d c7 f7 7f 00 00 e8 06 29 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
6         | 7ff7c80d4510h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[64u](32i)                                                           | Span<ulong> alloc<ulong>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 20 0f a8 c7 f7 7f 00 00 e8 b6 28 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
7         | 7ff7c80d47a0h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[64i](32i)                                                           | Span<long> alloc<long>(int len)                                                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 b8 6f 15 c8 f7 7f 00 00 e8 26 26 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
8         | 7ff7c80d48f0h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[32f](32i)                                                           | Span<float> alloc<float>(int len)                                                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 b8 75 15 c8 f7 7f 00 00 e8 d6 24 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
9         | 7ff7c80d4e60h   | 48      | CTC_RET_SBB         | hex://asmcore/AsmConstructs?alloc#alloc_g[64f](32i)                                                           | Span<double> alloc<double>(int len)                                                                           | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 18 7c 15 c8 f7 7f 00 00 e8 66 1f 19 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3
