Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8406da0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8u](v512x8i~in)                                                          | ref Vector512<byte> vgeneric<byte>(in Vector512<sbyte> src)                                                   | 0f 1f 44 00 00 48 8b c1 c3
1         | 7ff7c8406dc0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8i](v512x8i~in)                                                          | ref Vector512<sbyte> vgeneric<sbyte>(in Vector512<sbyte> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
2         | 7ff7c8406de0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16u](v512x8i~in)                                                         | ref Vector512<ushort> vgeneric<ushort>(in Vector512<sbyte> src)                                               | 0f 1f 44 00 00 48 8b c1 c3
3         | 7ff7c8406e00h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16i](v512x8i~in)                                                         | ref Vector512<short> vgeneric<short>(in Vector512<sbyte> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
4         | 7ff7c8406e20h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32u](v512x8i~in)                                                         | ref Vector512<uint> vgeneric<uint>(in Vector512<sbyte> src)                                                   | 0f 1f 44 00 00 48 8b c1 c3
5         | 7ff7c8407250h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32i](v512x8i~in)                                                         | ref Vector512<int> vgeneric<int>(in Vector512<sbyte> src)                                                     | 0f 1f 44 00 00 48 8b c1 c3
6         | 7ff7c8407270h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64u](v512x8i~in)                                                         | ref Vector512<ulong> vgeneric<ulong>(in Vector512<sbyte> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
7         | 7ff7c8407290h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64i](v512x8i~in)                                                         | ref Vector512<long> vgeneric<long>(in Vector512<sbyte> src)                                                   | 0f 1f 44 00 00 48 8b c1 c3
8         | 7ff7c84072b0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32f](v512x8i~in)                                                         | ref Vector512<float> vgeneric<float>(in Vector512<sbyte> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
9         | 7ff7c84076e0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64f](v512x8i~in)                                                         | ref Vector512<double> vgeneric<double>(in Vector512<sbyte> src)                                               | 0f 1f 44 00 00 48 8b c1 c3
10        | 7ff7c8407700h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8u](v512x8u~in)                                                          | ref Vector512<byte> vgeneric<byte>(in Vector512<byte> src)                                                    | 0f 1f 44 00 00 48 8b c1 c3
11        | 7ff7c8407720h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8i](v512x8u~in)                                                          | ref Vector512<sbyte> vgeneric<sbyte>(in Vector512<byte> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
12        | 7ff7c8407740h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16u](v512x8u~in)                                                         | ref Vector512<ushort> vgeneric<ushort>(in Vector512<byte> src)                                                | 0f 1f 44 00 00 48 8b c1 c3
13        | 7ff7c8407760h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16i](v512x8u~in)                                                         | ref Vector512<short> vgeneric<short>(in Vector512<byte> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
14        | 7ff7c8407780h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32u](v512x8u~in)                                                         | ref Vector512<uint> vgeneric<uint>(in Vector512<byte> src)                                                    | 0f 1f 44 00 00 48 8b c1 c3
15        | 7ff7c84077a0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32i](v512x8u~in)                                                         | ref Vector512<int> vgeneric<int>(in Vector512<byte> src)                                                      | 0f 1f 44 00 00 48 8b c1 c3
16        | 7ff7c84077c0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64u](v512x8u~in)                                                         | ref Vector512<ulong> vgeneric<ulong>(in Vector512<byte> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
17        | 7ff7c84077e0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64i](v512x8u~in)                                                         | ref Vector512<long> vgeneric<long>(in Vector512<byte> src)                                                    | 0f 1f 44 00 00 48 8b c1 c3
18        | 7ff7c8407800h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32f](v512x8u~in)                                                         | ref Vector512<float> vgeneric<float>(in Vector512<byte> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
19        | 7ff7c8407820h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64f](v512x8u~in)                                                         | ref Vector512<double> vgeneric<double>(in Vector512<byte> src)                                                | 0f 1f 44 00 00 48 8b c1 c3
20        | 7ff7c8407c50h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8u](v512x16i~in)                                                         | ref Vector512<byte> vgeneric<byte>(in Vector512<short> src)                                                   | 0f 1f 44 00 00 48 8b c1 c3
21        | 7ff7c8407c70h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8i](v512x16i~in)                                                         | ref Vector512<sbyte> vgeneric<sbyte>(in Vector512<short> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
22        | 7ff7c8407c90h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16u](v512x16i~in)                                                        | ref Vector512<ushort> vgeneric<ushort>(in Vector512<short> src)                                               | 0f 1f 44 00 00 48 8b c1 c3
23        | 7ff7c8407cb0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16i](v512x16i~in)                                                        | ref Vector512<short> vgeneric<short>(in Vector512<short> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
24        | 7ff7c8407cd0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32u](v512x16i~in)                                                        | ref Vector512<uint> vgeneric<uint>(in Vector512<short> src)                                                   | 0f 1f 44 00 00 48 8b c1 c3
25        | 7ff7c8407cf0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32i](v512x16i~in)                                                        | ref Vector512<int> vgeneric<int>(in Vector512<short> src)                                                     | 0f 1f 44 00 00 48 8b c1 c3
26        | 7ff7c8407d10h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64u](v512x16i~in)                                                        | ref Vector512<ulong> vgeneric<ulong>(in Vector512<short> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
27        | 7ff7c8407d30h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64i](v512x16i~in)                                                        | ref Vector512<long> vgeneric<long>(in Vector512<short> src)                                                   | 0f 1f 44 00 00 48 8b c1 c3
28        | 7ff7c8407d50h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32f](v512x16i~in)                                                        | ref Vector512<float> vgeneric<float>(in Vector512<short> src)                                                 | 0f 1f 44 00 00 48 8b c1 c3
29        | 7ff7c8407d70h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64f](v512x16i~in)                                                        | ref Vector512<double> vgeneric<double>(in Vector512<short> src)                                               | 0f 1f 44 00 00 48 8b c1 c3
30        | 7ff7c8407d90h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8u](v512x16u~in)                                                         | ref Vector512<byte> vgeneric<byte>(in Vector512<ushort> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
31        | 7ff7c8407db0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[8i](v512x16u~in)                                                         | ref Vector512<sbyte> vgeneric<sbyte>(in Vector512<ushort> src)                                                | 0f 1f 44 00 00 48 8b c1 c3
32        | 7ff7c8407dd0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16u](v512x16u~in)                                                        | ref Vector512<ushort> vgeneric<ushort>(in Vector512<ushort> src)                                              | 0f 1f 44 00 00 48 8b c1 c3
33        | 7ff7c8407df0h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[16i](v512x16u~in)                                                        | ref Vector512<short> vgeneric<short>(in Vector512<ushort> src)                                                | 0f 1f 44 00 00 48 8b c1 c3
34        | 7ff7c8407e10h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32u](v512x16u~in)                                                        | ref Vector512<uint> vgeneric<uint>(in Vector512<ushort> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
35        | 7ff7c8408240h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[32i](v512x16u~in)                                                        | ref Vector512<int> vgeneric<int>(in Vector512<ushort> src)                                                    | 0f 1f 44 00 00 48 8b c1 c3
36        | 7ff7c8408260h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64u](v512x16u~in)                                                        | ref Vector512<ulong> vgeneric<ulong>(in Vector512<ushort> src)                                                | 0f 1f 44 00 00 48 8b c1 c3
37        | 7ff7c8408280h   | 9       | CTC_RET_Zx3         | hex://fixed/v512?vgeneric#vgeneric_g[64i](v512x16u~in)                                                        | ref Vector512<long> vgeneric<long>(in Vector512<ushort> src)                                                  | 0f 1f 44 00 00 48 8b c1 c3
