Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c83fa580h   | 50      | CTC_RET_INTR        | hex://gmath/fmath?abs#abs_(32f)                                                                               | float abs(float a)                                                                                            | 48 83 ec 18 c5 f8 77 33 c0 48 89 44 24 10 c5 fa 11 44 24 08 8b 44 24 08 89 44 24 10 48 8d 44 24 10 81 20 ff ff ff 7f c5 fa 10 44 24 10 48 83 c4 18 c3
1         | 7ff7c83fa5d0h   | 59      | CTC_RET_INTR        | hex://gmath/fmath?abs#abs_(64f)                                                                               | double abs(double a)                                                                                          | 48 83 ec 18 c5 f8 77 33 c0 48 89 44 24 10 c5 fb 11 44 24 08 48 8b 44 24 08 48 89 44 24 10 48 8d 44 24 10 48 ba ff ff ff ff ff ff ff 7f 48 21 10 c5 fb 10 44 24 10 48 83 c4 18 c3
2         | 7ff7c83fa630h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?add#add_(32f,32f)                                                                           | float add(float lhs, float rhs)                                                                               | c5 f8 77 66 90 c5 fa 58 c1 c3
3         | 7ff7c83fa650h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?add#add_(64f,64f)                                                                           | double add(double lhs, double rhs)                                                                            | c5 f8 77 66 90 c5 fb 58 c1 c3
4         | 7ff7c83fa670h   | 12      | CTC_RET_SBB         | hex://gmath/fmath?ceil#ceil_(32f)                                                                             | float ceil(float src)                                                                                         | c5 f8 77 66 90 c4 e3 79 0a c0 0a c3
5         | 7ff7c83fa690h   | 12      | CTC_RET_SBB         | hex://gmath/fmath?ceil#ceil_(64f)                                                                             | double ceil(double src)                                                                                       | c5 f8 77 66 90 c4 e3 79 0b c0 0a c3
6         | 7ff7c83fa6b0h   | 17      | CTC_RET_INTR        | hex://gmath/fmath?clamp#clamp_(32f,32f)                                                                       | float clamp(float src, float max)                                                                             | c5 f8 77 66 90 c5 f8 2e c1 77 01 c3 c5 f8 28 c1 c3
7         | 7ff7c83fa6e0h   | 17      | CTC_RET_INTR        | hex://gmath/fmath?clamp#clamp_(64f,64f)                                                                       | double clamp(double src, double max)                                                                          | c5 f8 77 66 90 c5 f9 2e c1 77 01 c3 c5 f8 28 c1 c3
8         | 7ff7c83fa710h   | 14      | CTC_RET_INTR        | hex://gmath/fmath?dec#dec_(32f)                                                                               | float dec(float src)                                                                                          | c5 f8 77 66 90 c5 fa 5c 05 03 00 00 00 c3
9         | 7ff7c83fa740h   | 14      | CTC_RET_INTR        | hex://gmath/fmath?dec#dec_(64f)                                                                               | double dec(double src)                                                                                        | c5 f8 77 66 90 c5 fb 5c 05 03 00 00 00 c3
10        | 7ff7c83fa770h   | 47      | CTC_RET_INTR        | hex://gmath/fmath?dist#dist_(64f,64f)                                                                         | ulong dist(double a, double b)                                                                                | 48 83 ec 28 c5 f8 77 c5 f9 2e c1 73 13 c5 f3 5c c8 c5 f8 28 c1 e8 b6 31 f9 5e 90 48 83 c4 28 c3 c5 fb 5c c1 e8 a7 31 f9 5e 90 48 83 c4 28 c3
11        | 7ff7c83fa7c0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?div#div_(32f,32f)                                                                           | float div(float a, float b)                                                                                   | c5 f8 77 66 90 c5 fa 5e c1 c3
12        | 7ff7c83fa7e0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?div#div_(64f,64f)                                                                           | double div(double a, double b)                                                                                | c5 f8 77 66 90 c5 fb 5e c1 c3
13        | 7ff7c83fa800h   | 48      | CTC_RET_INTR        | hex://gmath/fmath?divides#divides_(32f,32f)                                                                   | bit divides(float a, float b)                                                                                 | 48 83 ec 28 c5 f8 77 c5 f8 28 d0 c5 f8 28 c1 c5 f8 28 ca e8 48 6e f9 5e c5 f0 57 c9 c5 f8 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 48 83 c4 28 c3
14        | 7ff7c83fa850h   | 48      | CTC_RET_INTR        | hex://gmath/fmath?divides#divides_(64f,64f)                                                                   | bit divides(double a, double b)                                                                               | 48 83 ec 28 c5 f8 77 c5 f8 28 d0 c5 f8 28 c1 c5 f8 28 ca e8 68 6d f9 5e c5 f0 57 c9 c5 f9 2e c1 0f 9b c0 7a 03 0f 94 c0 0f b6 c0 48 83 c4 28 c3
15        | 7ff7c83fa8a0h   | 12      | CTC_RET_SBB         | hex://gmath/fmath?floor#floor_(32f)                                                                           | float floor(float src)                                                                                        | c5 f8 77 66 90 c4 e3 79 0a c0 09 c3
16        | 7ff7c83fa8c0h   | 12      | CTC_RET_SBB         | hex://gmath/fmath?floor#floor_(64f)                                                                           | double floor(double src)                                                                                      | c5 f8 77 66 90 c4 e3 79 0b c0 09 c3
17        | 7ff7c83fa8e0h   | 11      | CTC_RET_ZED_SBB     | hex://gmath/fmath?fma#fma_(32f,32f,32f)                                                                       | float fma(float x, float y, float z)                                                                          | c5 f8 77 66 90 c4 e2 71 a9 c2 c3
18        | 7ff7c83fa900h   | 11      | CTC_RET_ZED_SBB     | hex://gmath/fmath?fma#fma_(64f,64f,64f)                                                                       | double fma(double x, double y, double z)                                                                      | c5 f8 77 66 90 c4 e2 f1 a9 c2 c3
19        | 7ff7c83fa920h   | 14      | CTC_RET_INTR        | hex://gmath/fmath?inc#inc_(32f)                                                                               | float inc(float src)                                                                                          | c5 f8 77 66 90 c5 fa 58 05 03 00 00 00 c3
20        | 7ff7c83fa950h   | 14      | CTC_RET_INTR        | hex://gmath/fmath?inc#inc_(64f)                                                                               | double inc(double src)                                                                                        | c5 f8 77 66 90 c5 fb 58 05 03 00 00 00 c3
21        | 7ff7c83fa980h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?mul#mul_(32f,32f)                                                                           | float mul(float lhs, float rhs)                                                                               | c5 f8 77 66 90 c5 fa 59 c1 c3
22        | 7ff7c83fa9a0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?mul#mul_(64f,64f)                                                                           | double mul(double lhs, double rhs)                                                                            | c5 f8 77 66 90 c5 fb 59 c1 c3
23        | 7ff7c83fa9c0h   | 18      | CTC_RET_INTR        | hex://gmath/fmath?negate#negate_(32f)                                                                         | float negate(float src)                                                                                       | c5 f8 77 66 90 c5 fa 10 0d 0b 00 00 00 c5 f8 57 c1 c3
24        | 7ff7c83fa9f0h   | 18      | CTC_RET_INTR        | hex://gmath/fmath?negate#negate_(64f)                                                                         | double negate(double src)                                                                                     | c5 f8 77 66 90 c5 fb 10 0d 0b 00 00 00 c5 f8 57 c1 c3
25        | 7ff7c83faa20h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?signum#signum_(32f)                                                                         | Sign:int signum(float src)                                                                                    | c5 f8 77 66 90 48 b8 18 20 a0 c7 f7 7f 00 00 48 ff e0
26        | 7ff7c83faa50h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?signum#signum_(64f)                                                                         | Sign:int signum(double src)                                                                                   | c5 f8 77 66 90 48 b8 f0 1f a0 c7 f7 7f 00 00 48 ff e0
27        | 7ff7c83faa80h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?square#square_(32f)                                                                         | float square(float src)                                                                                       | c5 f8 77 66 90 c5 fa 59 c0 c3
28        | 7ff7c83faaa0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?square#square_(64f)                                                                         | double square(double src)                                                                                     | c5 f8 77 66 90 c5 fb 59 c0 c3
