Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8641c90h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?load#load_(32f)                                                                      | Vector128<float> load(float x)                                                                                | c5 f8 77 66 90 c5 fa 11 4c 24 10 c5 fa 10 44 24 10 c5 f9 11 01 48 8b c1 c3
1         | 7ff7c8641cc0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?load#load_(64f)                                                                      | Vector128<double> load(double x)                                                                              | c5 f8 77 66 90 c5 fb 11 4c 24 10 c5 fb 10 44 24 10 c5 f9 11 01 48 8b c1 c3
2         | 7ff7c8641cf0h   | 41      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?store#store_(v128x32f)                                                               | float store(Vector128<float> src)                                                                             | 50 c5 f8 77 33 c0 89 44 24 04 c5 f8 57 c0 c5 fa 11 44 24 04 c5 f9 10 01 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3
3         | 7ff7c8641d40h   | 38      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?store#store_(v128x64f)                                                               | double store(Vector128<double> src)                                                                           | 50 c5 f8 77 33 c0 48 89 04 24 c5 f8 57 c0 c5 fb 11 04 24 c5 f9 10 01 c5 fb 11 04 24 c5 fb 10 04 24 48 83 c4 08 c3
4         | 7ff7c8641d80h   | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?convert#convert_(32i,v128x64f~out)                                                   | ref Vector128<double> convert(int x, out Vector128<double> dst)                                               | c5 f8 77 66 90 c5 f8 57 c0 c5 fb 2a c1 c5 f9 11 02 48 8b c2 c3
5         | 7ff7c8641db0h   | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?convert#convert_(32i,v128x32f~out)                                                   | ref Vector128<float> convert(int src, out Vector128<float> dst)                                               | c5 f8 77 66 90 c5 f8 57 c0 c5 fa 2a c1 c5 f9 11 02 48 8b c2 c3
6         | 7ff7c8641de0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?convert#convert_(64i,v128x32f~out)                                                   | ref Vector128<float> convert(long src, out Vector128<float> dst)                                              | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fa 2a c1 c5 f9 11 02 48 8b c2 c3
7         | 7ff7c8641e10h   | 18      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to32i#to32i_(32f)                                                                    | int to32i(float x)                                                                                            | c5 f8 77 66 90 c5 fa 11 44 24 08 c5 fa 2d 44 24 08 c3
8         | 7ff7c8641e40h   | 18      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to32i#to32i_(64f)                                                                    | int to32i(double x)                                                                                           | c5 f8 77 66 90 c5 fb 11 44 24 08 c5 fb 2d 44 24 08 c3
9         | 7ff7c8641e70h   | 19      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to64i#to64i_(32f)                                                                    | long to64i(float x)                                                                                           | c5 f8 77 66 90 c5 fa 11 44 24 08 c4 e1 fa 2d 44 24 08 c3
10        | 7ff7c8641ea0h   | 19      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to64i#to64i_(64f)                                                                    | long to64i(double x)                                                                                          | c5 f8 77 66 90 c5 fb 11 44 24 08 c4 e1 fb 2d 44 24 08 c3
11        | 7ff7c8641ed0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?add#add_(v128x32f,v128x32f)                                                          | Vector128<float> add(Vector128<float> x, Vector128<float> y)                                                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 58 00 c5 f9 11 01 48 8b c1 c3
12        | 7ff7c8641f00h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?add#add_(v128x64f,v128x64f)                                                          | Vector128<double> add(Vector128<double> x, Vector128<double> y)                                               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 58 00 c5 f9 11 01 48 8b c1 c3
13        | 7ff7c8641f30h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?mul#mul_(v128x32f,v128x32f)                                                          | Vector128<float> mul(Vector128<float> x, Vector128<float> y)                                                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 59 00 c5 f9 11 01 48 8b c1 c3
14        | 7ff7c8641f60h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?mul#mul_(v128x64f,v128x64f)                                                          | Vector128<double> mul(Vector128<double> x, Vector128<double> y)                                               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 59 00 c5 f9 11 01 48 8b c1 c3
15        | 7ff7c8641f90h   | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmadd#fmadd_(v128x32f,v128x32f,v128x32f)                                             | Vector128<float> fmadd(Vector128<float> x, Vector128<float> y, Vector128<float> z)                            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 71 a9 01 c5 f9 11 01 48 8b c1 c3
16        | 7ff7c8641fc0h   | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmadd#fmadd_(v128x64f,v128x64f,v128x64f)                                             | Vector128<double> fmadd(Vector128<double> x, Vector128<double> y, Vector128<double> z)                        | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 f1 a9 01 c5 f9 11 01 48 8b c1 c3
17        | 7ff7c8641ff0h   | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmsub#fmsub_(v128x32f,v128x32f,v128x32f)                                             | Vector128<float> fmsub(Vector128<float> x, Vector128<float> y, Vector128<float> z)                            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 71 ab 01 c5 f9 11 01 48 8b c1 c3
