Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c85a1830h   | 42      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[8u](v512x8u,8u~ref,32i)                                                 | void vstore<byte>(Vector512<byte> src, ref byte dst, int offset)                                              | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 03 c2 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 20 49 63 c0 48 03 c2 c5 fe 7f 00 c5 f8 77 c3
1         | 7ff7c85a1870h   | 42      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[8i](v512x8i,8i~ref,32i)                                                 | void vstore<sbyte>(Vector512<sbyte> src, ref sbyte dst, int offset)                                           | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 03 c2 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 20 49 63 c0 48 03 c2 c5 fe 7f 00 c5 f8 77 c3
2         | 7ff7c85a18b0h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[16u](v512x16u,16u~ref,32i)                                              | void vstore<ushort>(Vector512<ushort> src, ref ushort dst, int offset)                                        | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 42 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 10 49 63 c0 48 8d 04 42 c5 fe 7f 00 c5 f8 77 c3
3         | 7ff7c85a18f0h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[16i](v512x16i,16i~ref,32i)                                              | void vstore<short>(Vector512<short> src, ref short dst, int offset)                                           | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 42 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 10 49 63 c0 48 8d 04 42 c5 fe 7f 00 c5 f8 77 c3
4         | 7ff7c85a1930h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[32u](v512x32u,32u~ref,32i)                                              | void vstore<uint>(Vector512<uint> src, ref uint dst, int offset)                                              | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 82 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 08 49 63 c0 48 8d 04 82 c5 fe 7f 00 c5 f8 77 c3
5         | 7ff7c85a1970h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[32i](v512x32i,32i~ref,32i)                                              | void vstore<int>(Vector512<int> src, ref int dst, int offset)                                                 | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 82 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 08 49 63 c0 48 8d 04 82 c5 fe 7f 00 c5 f8 77 c3
6         | 7ff7c85a19b0h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[64u](v512x64u,64u~ref,32i)                                              | void vstore<ulong>(Vector512<ulong> src, ref ulong dst, int offset)                                           | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 c2 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 04 49 63 c0 48 8d 04 c2 c5 fe 7f 00 c5 f8 77 c3
7         | 7ff7c85a1e00h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[64i](v512x64i,64i~ref,32i)                                              | void vstore<long>(Vector512<long> src, ref long dst, int offset)                                              | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 c2 c5 fe 7f 00 c5 fd 10 41 20 41 83 c0 04 49 63 c0 48 8d 04 c2 c5 fe 7f 00 c5 f8 77 c3
8         | 7ff7c85a1e40h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[32f](v512x32f,32f~ref,32i)                                              | void vstore<float>(Vector512<float> src, ref float dst, int offset)                                           | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 82 c5 fc 11 00 c5 fd 10 41 20 41 83 c0 08 49 63 c0 48 8d 04 82 c5 fc 11 00 c5 f8 77 c3
9         | 7ff7c85a1e80h   | 44      | CTC_RET_INTR        | hex://intrinsics/ginx?vstore#vstore_g[64f](v512x64f,64f~ref,32i)                                              | void vstore<double>(Vector512<double> src, ref double dst, int offset)                                        | c5 f8 77 66 90 c5 fd 10 01 49 63 c0 48 8d 04 c2 c5 fd 11 00 c5 fd 10 41 20 41 83 c0 04 49 63 c0 48 8d 04 c2 c5 fd 11 00 c5 f8 77 c3
10        | 7ff7c85a1ec0h   | 138     | CTC_RET_INTR        | hex://intrinsics/ginx?vbfly#vbfly_g[8u](n1,v128x8u)                                                           | Vector128<byte> vbfly<byte>(N1 n, Vector128<byte> x)                                                          | 48 83 ec 18 c5 f8 77 c4 c1 79 10 00 c7 44 24 14 66 00 00 00 48 8d 44 24 14 c4 e2 79 78 4c 24 14 c5 f8 28 d0 c5 f8 28 d9 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 01 c7 44 24 10 fe 00 00 00 48 8d 44 24 10 c4 e2 79 78 64 24 10 c5 e1 db dc c5 f8 28 e2 c5 d9 73 d4 01 c7 44 24 0c 7f 00 00 00 48 8d 44 24 0c c4 e2 79 78 6c 24 0c c5 d9 db e5 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c9 c5 f1 ef c0 c5 f9 11 01 48 8b c1 48 83 c4 18 c3
11        | 7ff7c85a1f70h   | 88      | CTC_RET_INTR        | hex://intrinsics/ginx?vbfly#vbfly_g[16u](n1,v128x16u)                                                         | Vector128<ushort> vbfly<ushort>(N1 n, Vector128<ushort> x)                                                    | 50 c5 f8 77 90 c4 c1 79 10 00 c7 44 24 04 66 66 00 00 48 8d 44 24 04 c4 e2 79 79 4c 24 04 c5 f8 28 d0 c5 f8 28 d9 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 01 c5 f8 28 e2 c5 d9 71 d4 01 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c9 c5 f1 ef c0 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
12        | 7ff7c85a1ff0h   | 88      | CTC_RET_INTR        | hex://intrinsics/ginx?vbfly#vbfly_g[32u](n1,v128x32u)                                                         | Vector128<uint> vbfly<uint>(N1 n, Vector128<uint> x)                                                          | 50 c5 f8 77 90 c4 c1 79 10 00 c7 44 24 04 66 66 66 66 48 8d 44 24 04 c4 e2 79 58 4c 24 04 c5 f8 28 d0 c5 f8 28 d9 c5 e9 db d3 c5 f8 28 da c5 e1 72 f3 01 c5 f8 28 e2 c5 d9 72 d4 01 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c9 c5 f1 ef c0 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
13        | 7ff7c85a2070h   | 92      | CTC_RET_INTR        | hex://intrinsics/ginx?vbfly#vbfly_g[64u](n1,v128x64u)                                                         | Vector128<ulong> vbfly<ulong>(N1 n, Vector128<ulong> x)                                                       | 50 c5 f8 77 90 c4 c1 79 10 00 48 b8 66 66 66 66 66 66 66 66 48 89 04 24 48 8d 04 24 c4 e2 79 59 0c 24 c5 f8 28 d0 c5 f8 28 d9 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 01 c5 f8 28 e2 c5 d9 73 d4 01 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c9 c5 f1 ef c0 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
