Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8542800h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[8u]()                                                         | bit eval<byte>(ILogicExpr<byte> expr)                                                                         | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
1         | 7ff7c8542830h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[8i]()                                                         | bit eval<sbyte>(ILogicExpr<sbyte> expr)                                                                       | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
2         | 7ff7c8542860h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[16u]()                                                        | bit eval<ushort>(ILogicExpr<ushort> expr)                                                                     | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
3         | 7ff7c8542890h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[16i]()                                                        | bit eval<short>(ILogicExpr<short> expr)                                                                       | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
4         | 7ff7c85428c0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[32u]()                                                        | bit eval<uint>(ILogicExpr<uint> expr)                                                                         | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
5         | 7ff7c85428f0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[32i]()                                                        | bit eval<int>(ILogicExpr<int> expr)                                                                           | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
6         | 7ff7c8542920h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[64u]()                                                        | bit eval<ulong>(ILogicExpr<ulong> expr)                                                                       | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
7         | 7ff7c8542950h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_logic_expr_g[64i]()                                                        | bit eval<long>(ILogicExpr<long> expr)                                                                         | 0f 1f 44 00 00 48 b8 90 66 da c7 f7 7f 00 00 48 ff e0
8         | 7ff7c8542980h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[8u]()                                                        | LiteralExpr<byte> eval<byte>(IExpr<byte> expr)                                                                | 0f 1f 44 00 00 48 b8 88 24 54 c8 f7 7f 00 00 48 ff e0
9         | 7ff7c85429b0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[8i]()                                                        | LiteralExpr<sbyte> eval<sbyte>(IExpr<sbyte> expr)                                                             | 0f 1f 44 00 00 48 b8 b8 24 54 c8 f7 7f 00 00 48 ff e0
10        | 7ff7c85429e0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[16u]()                                                       | LiteralExpr<ushort> eval<ushort>(IExpr<ushort> expr)                                                          | 0f 1f 44 00 00 48 b8 d8 24 54 c8 f7 7f 00 00 48 ff e0
11        | 7ff7c8542a10h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[16i]()                                                       | LiteralExpr<short> eval<short>(IExpr<short> expr)                                                             | 0f 1f 44 00 00 48 b8 f8 24 54 c8 f7 7f 00 00 48 ff e0
12        | 7ff7c8542a40h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[32u]()                                                       | LiteralExpr<uint> eval<uint>(IExpr<uint> expr)                                                                | 0f 1f 44 00 00 48 b8 18 25 54 c8 f7 7f 00 00 48 ff e0
13        | 7ff7c8542a70h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[32i]()                                                       | LiteralExpr<int> eval<int>(IExpr<int> expr)                                                                   | 0f 1f 44 00 00 48 b8 38 25 54 c8 f7 7f 00 00 48 ff e0
14        | 7ff7c8542aa0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[64u]()                                                       | LiteralExpr<ulong> eval<ulong>(IExpr<ulong> expr)                                                             | 0f 1f 44 00 00 48 b8 58 25 54 c8 f7 7f 00 00 48 ff e0
15        | 7ff7c8542ad0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_scalar_expr_g[64i]()                                                       | LiteralExpr<long> eval<long>(IExpr<long> expr)                                                                | 0f 1f 44 00 00 48 b8 78 25 54 c8 f7 7f 00 00 48 ff e0
16        | 7ff7c8542b00h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[8u]()                                                           | LiteralExpr<byte> eval<byte>(IComparisonExpr<byte> expr)                                                      | 0f 1f 44 00 00 48 b8 20 85 3c c8 f7 7f 00 00 48 ff e0
17        | 7ff7c8542b30h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[8i]()                                                           | LiteralExpr<sbyte> eval<sbyte>(IComparisonExpr<sbyte> expr)                                                   | 0f 1f 44 00 00 48 b8 10 86 3c c8 f7 7f 00 00 48 ff e0
18        | 7ff7c8542b60h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[16u]()                                                          | LiteralExpr<ushort> eval<ushort>(IComparisonExpr<ushort> expr)                                                | 0f 1f 44 00 00 48 b8 d0 86 3c c8 f7 7f 00 00 48 ff e0
19        | 7ff7c8542b90h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[16i]()                                                          | LiteralExpr<short> eval<short>(IComparisonExpr<short> expr)                                                   | 0f 1f 44 00 00 48 b8 90 87 3c c8 f7 7f 00 00 48 ff e0
20        | 7ff7c8542bc0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[32u]()                                                          | LiteralExpr<uint> eval<uint>(IComparisonExpr<uint> expr)                                                      | 0f 1f 44 00 00 48 b8 50 88 3c c8 f7 7f 00 00 48 ff e0
21        | 7ff7c8542bf0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[32i]()                                                          | LiteralExpr<int> eval<int>(IComparisonExpr<int> expr)                                                         | 0f 1f 44 00 00 48 b8 30 48 78 c7 f7 7f 00 00 48 ff e0
22        | 7ff7c8542c20h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_cmp_expr_g[64i]()                                                          | LiteralExpr<long> eval<long>(IComparisonExpr<long> expr)                                                      | 0f 1f 44 00 00 48 b8 f0 48 78 c7 f7 7f 00 00 48 ff e0
23        | 7ff7c8543050h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_vcmp_expr128_g[8u]()                                                       | LiteralExpr<Vector128<byte>> eval<byte>(IComparisonExpr<Vector128<byte>> expr)                                | 0f 1f 44 00 00 48 b8 50 09 54 c8 f7 7f 00 00 48 ff e0
24        | 7ff7c8543080h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_vcmp_expr128_g[8i]()                                                       | LiteralExpr<Vector128<sbyte>> eval<sbyte>(IComparisonExpr<Vector128<sbyte>> expr)                             | 0f 1f 44 00 00 48 b8 50 0e 54 c8 f7 7f 00 00 48 ff e0
25        | 7ff7c85430b0h   | 18      | CTC_JMP_RAX         | hex://logix/logic.engine?eval#eval_vcmp_expr128_g[16u]()                                                      | LiteralExpr<Vector128<ushort>> eval<ushort>(IComparisonExpr<Vector128<ushort>> expr)                          | 0f 1f 44 00 00 48 b8 40 0f 54 c8 f7 7f 00 00 48 ff e0
