Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c85726b0h   | 24      | CTC_RET_SBB         | hex://logix/logic.ops?true#true_(1u,1u,1u)                                                                    | bit true(bit a, bit b, bit c)                                                                                 | 0f 1f 44 00 00 89 4c 24 08 89 54 24 10 44 89 44 24 18 b8 01 00 00 00 c3
1         | 7ff7c85726e0h   | 13      | CTC_RET_Zx3         | hex://logix/logic.ops?not#not_(1u)                                                                            | bit not(bit a)                                                                                                | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 c3
2         | 7ff7c8572700h   | 8       | CTC_RET_SBB         | hex://logix/logic.ops?identity#identity_(1u)                                                                  | bit identity(bit a)                                                                                           | 0f 1f 44 00 00 8b c1 c3
3         | 7ff7c8572720h   | 12      | CTC_RET_SBB         | hex://logix/logic.ops?false#false_(1u)                                                                        | bit false(bit a)                                                                                              | 0f 1f 44 00 00 89 4c 24 08 33 c0 c3
4         | 7ff7c8572740h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?true#true_(1u)                                                                          | bit true(bit a)                                                                                               | 0f 1f 44 00 00 89 4c 24 08 b8 01 00 00 00 c3
5         | 7ff7c8572760h   | 16      | CTC_RET_SBB         | hex://logix/logic.ops?false#false_(1u,1u)                                                                     | bit false(bit a, bit b)                                                                                       | 0f 1f 44 00 00 89 4c 24 08 89 54 24 10 33 c0 c3
6         | 7ff7c8572780h   | 19      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?true#true_(1u,1u)                                                                       | bit true(bit a, bit b)                                                                                        | 0f 1f 44 00 00 89 4c 24 08 89 54 24 10 b8 01 00 00 00 c3
7         | 7ff7c85727b0h   | 10      | CTC_RET_Zx3         | hex://logix/logic.ops?and#and_(1u,1u)                                                                         | bit and(bit a, bit b)                                                                                         | 0f 1f 44 00 00 8b c1 23 c2 c3
8         | 7ff7c85727d0h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?nand#nand_(1u,1u)                                                                       | bit nand(bit a, bit b)                                                                                        | 0f 1f 44 00 00 23 d1 8b c2 f7 d0 83 e0 01 c3
9         | 7ff7c85727f0h   | 10      | CTC_RET_Zx3         | hex://logix/logic.ops?or#or_(1u,1u)                                                                           | bit or(bit a, bit b)                                                                                          | 0f 1f 44 00 00 8b c1 0b c2 c3
10        | 7ff7c8572810h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?nor#nor_(1u,1u)                                                                         | bit nor(bit a, bit b)                                                                                         | 0f 1f 44 00 00 0b d1 8b c2 f7 d0 83 e0 01 c3
11        | 7ff7c8572830h   | 10      | CTC_RET_Zx3         | hex://logix/logic.ops?xor#xor_(1u,1u)                                                                         | bit xor(bit a, bit b)                                                                                         | 0f 1f 44 00 00 8b c1 33 c2 c3
