Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c865e9f0h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](8i)                                                                               | byte to<byte>(sbyte src)                                                                                      | 0f 1f 44 00 00 48 0f be c1 0f b6 c0 c3
1         | 7ff7c865ea10h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](8i)                                                                               | sbyte to<sbyte>(sbyte src)                                                                                    | 0f 1f 44 00 00 48 0f be c1 c3
2         | 7ff7c865ea30h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](8i)                                                                              | ushort to<ushort>(sbyte src)                                                                                  | 0f 1f 44 00 00 48 0f be c1 0f b7 c0 c3
3         | 7ff7c865ea50h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](8i)                                                                              | short to<short>(sbyte src)                                                                                    | 0f 1f 44 00 00 48 0f be c1 c3
4         | 7ff7c865ea70h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[32u](8i)                                                                              | uint to<uint>(sbyte src)                                                                                      | 0f 1f 44 00 00 48 0f be c1 c3
5         | 7ff7c865ea90h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[32i](8i)                                                                              | int to<int>(sbyte src)                                                                                        | 0f 1f 44 00 00 48 0f be c1 c3
6         | 7ff7c865eab0h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[64u](8i)                                                                              | ulong to<ulong>(sbyte src)                                                                                    | 0f 1f 44 00 00 48 0f be c1 48 63 c0 c3
7         | 7ff7c865ead0h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[64i](8i)                                                                              | long to<long>(sbyte src)                                                                                      | 0f 1f 44 00 00 48 0f be c1 48 63 c0 c3
8         | 7ff7c865eaf0h   | 18      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](8i)                                                                              | float to<float>(sbyte src)                                                                                    | c5 f8 77 66 90 48 0f be c1 c5 f8 57 c0 c5 fa 2a c0 c3
9         | 7ff7c865ef20h   | 22      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](8i)                                                                              | double to<double>(sbyte src)                                                                                  | c5 f8 77 66 90 48 0f be c1 48 63 c0 c5 f8 57 c0 c4 e1 fb 2a c0 c3
10        | 7ff7c865ef50h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](8u)                                                                               | byte to<byte>(byte src)                                                                                       | 0f 1f 44 00 00 0f b6 c1 c3
11        | 7ff7c865ef70h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](8u)                                                                               | sbyte to<sbyte>(byte src)                                                                                     | 0f 1f 44 00 00 0f b6 c1 48 0f be c0 c3
12        | 7ff7c865ef90h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](8u)                                                                              | ushort to<ushort>(byte src)                                                                                   | 0f 1f 44 00 00 0f b6 c1 c3
13        | 7ff7c865efb0h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](8u)                                                                              | short to<short>(byte src)                                                                                     | 0f 1f 44 00 00 0f b6 c1 48 0f bf c0 c3
14        | 7ff7c865efd0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[32u](8u)                                                                              | uint to<uint>(byte src)                                                                                       | 0f 1f 44 00 00 0f b6 c1 c3
15        | 7ff7c865eff0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[32i](8u)                                                                              | int to<int>(byte src)                                                                                         | 0f 1f 44 00 00 0f b6 c1 c3
16        | 7ff7c865f010h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64u](8u)                                                                              | ulong to<ulong>(byte src)                                                                                     | 0f 1f 44 00 00 0f b6 c1 c3
17        | 7ff7c865f030h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64i](8u)                                                                              | long to<long>(byte src)                                                                                       | 0f 1f 44 00 00 0f b6 c1 c3
18        | 7ff7c865f050h   | 17      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](8u)                                                                              | float to<float>(byte src)                                                                                     | c5 f8 77 66 90 0f b6 c1 c5 f8 57 c0 c5 fa 2a c0 c3
19        | 7ff7c865f080h   | 17      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](8u)                                                                              | double to<double>(byte src)                                                                                   | c5 f8 77 66 90 0f b6 c1 c5 f8 57 c0 c5 fb 2a c0 c3
20        | 7ff7c865f0b0h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](16i)                                                                              | byte to<byte>(short src)                                                                                      | 0f 1f 44 00 00 48 0f bf c1 0f b6 c0 c3
21        | 7ff7c865f0d0h   | 14      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](16i)                                                                              | sbyte to<sbyte>(short src)                                                                                    | 0f 1f 44 00 00 48 0f bf c1 48 0f be c0 c3
