Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8683360h   | 18      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(8i)                                                                    | double to64f(sbyte src)                                                                                       | c5 f8 77 66 90 48 0f be c1 c5 f8 57 c0 c5 fb 2a c0 c3
1         | 7ff7c8683390h   | 17      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(8u)                                                                    | double to64f(byte src)                                                                                        | c5 f8 77 66 90 0f b6 c1 c5 f8 57 c0 c5 fb 2a c0 c3
2         | 7ff7c86833c0h   | 18      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(16i)                                                                   | double to64f(short src)                                                                                       | c5 f8 77 66 90 48 0f bf c1 c5 f8 57 c0 c5 fb 2a c0 c3
3         | 7ff7c86833f0h   | 17      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(16u)                                                                   | double to64f(ushort src)                                                                                      | c5 f8 77 66 90 0f b7 c1 c5 f8 57 c0 c5 fb 2a c0 c3
4         | 7ff7c8683420h   | 14      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(32i)                                                                   | double to64f(int src)                                                                                         | c5 f8 77 66 90 c5 f8 57 c0 c5 fb 2a c1 c3
5         | 7ff7c8683440h   | 17      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(32u)                                                                   | double to64f(uint src)                                                                                        | c5 f8 77 66 90 8b c1 c5 f8 57 c0 c4 e1 fb 2a c0 c3
6         | 7ff7c8683470h   | 15      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(64i)                                                                   | double to64f(long src)                                                                                        | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fb 2a c1 c3
7         | 7ff7c8683490h   | 15      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(64u)                                                                   | double to64f(ulong src)                                                                                       | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fb 2a c1 c3
8         | 7ff7c86834b0h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast.internals?to32u#to32u_(32f)                                                                   | uint to32u(float src)                                                                                         | c5 f8 77 66 90 c4 e1 fa 2c c0 c3
9         | 7ff7c86834d0h   | 10      | CTC_RET_INTR        | hex://root/cast.internals?to64f#to64f_(32f)                                                                   | double to64f(float src)                                                                                       | c5 f8 77 66 90 c5 fa 5a c0 c3
10        | 7ff7c86834f0h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast.internals?to64u#to64u_(32f)                                                                   | ulong to64u(float src)                                                                                        | c5 f8 77 66 90 c4 e1 fa 2c c0 c3
11        | 7ff7c8683510h   | 14      | CTC_RET_INTR        | hex://root/cast.internals?to8i#to8i_(64f)                                                                     | sbyte to8i(double src)                                                                                        | c5 f8 77 66 90 c5 fb 2c c0 48 0f be c0 c3
12        | 7ff7c8683530h   | 14      | CTC_RET_Zx3         | hex://root/cast.internals?to8u#to8u_(64f)                                                                     | byte to8u(double src)                                                                                         | c5 f8 77 66 90 c4 e1 fb 2c c0 0f b6 c0 c3
13        | 7ff7c8683550h   | 14      | CTC_RET_INTR        | hex://root/cast.internals?to16i#to16i_(64f)                                                                   | short to16i(double src)                                                                                       | c5 f8 77 66 90 c5 fb 2c c0 48 0f be c0 c3
14        | 7ff7c8683570h   | 14      | CTC_RET_Zx3         | hex://root/cast.internals?to16u#to16u_(64f)                                                                   | ushort to16u(double src)                                                                                      | c5 f8 77 66 90 c4 e1 fb 2c c0 0f b7 c0 c3
15        | 7ff7c8683590h   | 10      | CTC_RET_INTR        | hex://root/cast.internals?to32i#to32i_(64f)                                                                   | int to32i(double src)                                                                                         | c5 f8 77 66 90 c5 fb 2c c0 c3
16        | 7ff7c86835b0h   | 11      | CTC_RET_ZED_SBB     | hex://root/cast.internals?to32u#to32u_(64f)                                                                   | uint to32u(double src)                                                                                        | c5 f8 77 66 90 c4 e1 fb 2c c0 c3
