Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c867c5b0h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x8i,8i~ref)                                                        | void vstore(Vector128<sbyte> src, ref sbyte dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
1         | 7ff7c867c5d0h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x8u,8u~ref)                                                        | void vstore(Vector128<byte> src, ref byte dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
2         | 7ff7c867c5f0h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x16i,16i~ref)                                                      | void vstore(Vector128<short> src, ref short dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
3         | 7ff7c867c610h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x16u,16u~ref)                                                      | void vstore(Vector128<ushort> src, ref ushort dst)                                                            | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
4         | 7ff7c867c630h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x32i,32i~ref)                                                      | void vstore(Vector128<int> src, ref int dst)                                                                  | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
5         | 7ff7c867c650h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x32u,32u~ref)                                                      | void vstore(Vector128<uint> src, ref uint dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
6         | 7ff7c867c670h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x64i,64i~ref)                                                      | void vstore(Vector128<long> src, ref long dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
7         | 7ff7c867c690h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x64u,64u~ref)                                                      | void vstore(Vector128<ulong> src, ref ulong dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3
8         | 7ff7c867c6b0h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x32f,32f~ref)                                                      | void vstore(Vector128<float> src, ref float dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3
9         | 7ff7c867c6d0h   | 14      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x64f,64f~ref)                                                      | void vstore(Vector128<double> src, ref double dst)                                                            | c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3
10        | 7ff7c867c6f0h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x8i,8i~ref)                                                        | void vstore(Vector256<sbyte> src, ref sbyte dst)                                                              | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
11        | 7ff7c867c720h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x8u,8u~ref)                                                        | void vstore(Vector256<byte> src, ref byte dst)                                                                | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
12        | 7ff7c867c750h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x16i,16i~ref)                                                      | void vstore(Vector256<short> src, ref short dst)                                                              | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
13        | 7ff7c867c780h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x16u,16u~ref)                                                      | void vstore(Vector256<ushort> src, ref ushort dst)                                                            | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
14        | 7ff7c867c7b0h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x32i,32i~ref)                                                      | void vstore(Vector256<int> src, ref int dst)                                                                  | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
15        | 7ff7c867c7e0h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x32u,32u~ref)                                                      | void vstore(Vector256<uint> src, ref uint dst)                                                                | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
16        | 7ff7c867c810h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x64i,64i~ref)                                                      | void vstore(Vector256<long> src, ref long dst)                                                                | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
17        | 7ff7c867c840h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x64u,64u~ref)                                                      | void vstore(Vector256<ulong> src, ref ulong dst)                                                              | c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3
18        | 7ff7c867c870h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x32f,32f~ref)                                                      | void vstore(Vector256<float> src, ref float dst)                                                              | c5 f8 77 66 90 c5 fd 10 01 c5 fc 11 02 c5 f8 77 c3
19        | 7ff7c867c8a0h   | 17      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x64f,64f~ref)                                                      | void vstore(Vector256<double> src, ref double dst)                                                            | c5 f8 77 66 90 c5 fd 10 01 c5 fd 11 02 c5 f8 77 c3
20        | 7ff7c867c8d0h   | 20      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x8i,8i~ref,32i)                                                    | void vstore(Vector128<sbyte> src, ref sbyte dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 03 c2 c5 f9 10 01 c5 fa 7f 00 c3
21        | 7ff7c867c900h   | 20      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x8u,8u~ref,32i)                                                    | void vstore(Vector128<byte> src, ref byte dst, int offset)                                                    | c5 f8 77 66 90 49 63 c0 48 03 c2 c5 f9 10 01 c5 fa 7f 00 c3
22        | 7ff7c867c930h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x16i,16i~ref,32i)                                                  | void vstore(Vector128<short> src, ref short dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 8d 04 42 c5 f9 10 01 c5 fa 7f 00 c3
23        | 7ff7c867c960h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x16u,16u~ref,32i)                                                  | void vstore(Vector128<ushort> src, ref ushort dst, int offset)                                                | c5 f8 77 66 90 49 63 c0 48 8d 04 42 c5 f9 10 01 c5 fa 7f 00 c3
24        | 7ff7c867c990h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x32i,32i~ref,32i)                                                  | void vstore(Vector128<int> src, ref int dst, int offset)                                                      | c5 f8 77 66 90 49 63 c0 48 8d 04 82 c5 f9 10 01 c5 fa 7f 00 c3
25        | 7ff7c867c9c0h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x32u,32u~ref,32i)                                                  | void vstore(Vector128<uint> src, ref uint dst, int offset)                                                    | c5 f8 77 66 90 49 63 c0 48 8d 04 82 c5 f9 10 01 c5 fa 7f 00 c3
26        | 7ff7c867c9f0h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x64i,64i~ref,32i)                                                  | void vstore(Vector128<long> src, ref long dst, int offset)                                                    | c5 f8 77 66 90 49 63 c0 48 8d 04 c2 c5 f9 10 01 c5 fa 7f 00 c3
27        | 7ff7c867ca20h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x64u,64u~ref,32i)                                                  | void vstore(Vector128<ulong> src, ref ulong dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 8d 04 c2 c5 f9 10 01 c5 fa 7f 00 c3
28        | 7ff7c867ca50h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x32f,32f~ref,32i)                                                  | void vstore(Vector128<float> src, ref float dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 8d 04 82 c5 f9 10 01 c5 f8 11 00 c3
29        | 7ff7c867ca80h   | 21      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v128x64f,64f~ref,32i)                                                  | void vstore(Vector128<double> src, ref double dst, int offset)                                                | c5 f8 77 66 90 49 63 c0 48 8d 04 c2 c5 f9 10 01 c5 f9 11 00 c3
30        | 7ff7c867cab0h   | 23      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x8i,8i~ref,32i)                                                    | void vstore(Vector256<sbyte> src, ref sbyte dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 03 c2 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
31        | 7ff7c867cae0h   | 23      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x8u,8u~ref,32i)                                                    | void vstore(Vector256<byte> src, ref byte dst, int offset)                                                    | c5 f8 77 66 90 49 63 c0 48 03 c2 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
32        | 7ff7c867cb10h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x16i,16i~ref,32i)                                                  | void vstore(Vector256<short> src, ref short dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 8d 04 42 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
33        | 7ff7c867cb40h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x16u,16u~ref,32i)                                                  | void vstore(Vector256<ushort> src, ref ushort dst, int offset)                                                | c5 f8 77 66 90 49 63 c0 48 8d 04 42 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
34        | 7ff7c867cb70h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x32i,32i~ref,32i)                                                  | void vstore(Vector256<int> src, ref int dst, int offset)                                                      | c5 f8 77 66 90 49 63 c0 48 8d 04 82 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
35        | 7ff7c867cba0h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x32u,32u~ref,32i)                                                  | void vstore(Vector256<uint> src, ref uint dst, int offset)                                                    | c5 f8 77 66 90 49 63 c0 48 8d 04 82 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
36        | 7ff7c867cbd0h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x64i,64i~ref,32i)                                                  | void vstore(Vector256<long> src, ref long dst, int offset)                                                    | c5 f8 77 66 90 49 63 c0 48 8d 04 c2 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
37        | 7ff7c867cc00h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x64u,64u~ref,32i)                                                  | void vstore(Vector256<ulong> src, ref ulong dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 8d 04 c2 c5 fd 10 01 c5 fe 7f 00 c5 f8 77 c3
38        | 7ff7c867cc30h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x32f,32f~ref,32i)                                                  | void vstore(Vector256<float> src, ref float dst, int offset)                                                  | c5 f8 77 66 90 49 63 c0 48 8d 04 82 c5 fd 10 01 c5 fc 11 00 c5 f8 77 c3
39        | 7ff7c867cc60h   | 24      | CTC_RET_INTR        | hex://vectorized/direct?vstore#vstore_(v256x64f,64f~ref,32i)                                                  | void vstore(Vector256<double> src, ref double dst, int offset)                                                | c5 f8 77 66 90 49 63 c0 48 8d 04 c2 c5 fd 10 01 c5 fd 11 00 c5 f8 77 c3
