Offset      | Gap     | Origin                          | Size    | Uri
00000000h   | 0       | 7ff7c71920c0h : 7ff7c71920cdh   | 13      | corefunc/converter/convert16i~convert_g16i
00000020h   | 19      | 7ff7c71920e0h : 7ff7c71920eeh   | 14      | corefunc/converter/convert16i~convert_g16i
00000040h   | 18      | 7ff7c7192100h : 7ff7c719210dh   | 13      | corefunc/converter/convert16i~convert_g16i
00000060h   | 19      | 7ff7c7192120h : 7ff7c719212ah   | 10      | corefunc/converter/convert16i~convert_g16i
00000080h   | 22      | 7ff7c7192140h : 7ff7c719214ah   | 10      | corefunc/converter/convert16i~convert_g16i
000000a0h   | 22      | 7ff7c7192160h : 7ff7c719216ah   | 10      | corefunc/converter/convert16i~convert_g16i
000000c0h   | 22      | 7ff7c7192180h : 7ff7c719218dh   | 13      | corefunc/converter/convert16i~convert_g16i
000000e0h   | 19      | 7ff7c71921a0h : 7ff7c71921adh   | 13      | corefunc/converter/convert16i~convert_g16i
00000100h   | 19      | 7ff7c71921c0h : 7ff7c71921d2h   | 18      | corefunc/converter/convert16i~convert_g16i
00000640h   | 1326    | 7ff7c7192700h : 7ff7c7192712h   | 18      | corefunc/converter/convert16i~convert_g16i
00000670h   | 30      | 7ff7c7192730h : 7ff7c719273ch   | 12      | corefunc/converter/convert16u~convert_g16u
00000690h   | 20      | 7ff7c7192750h : 7ff7c719275dh   | 13      | corefunc/converter/convert16u~convert_g16u
000006b0h   | 19      | 7ff7c7192770h : 7ff7c7192779h   | 9       | corefunc/converter/convert16u~convert_g16u
000006d0h   | 23      | 7ff7c7192790h : 7ff7c719279dh   | 13      | corefunc/converter/convert16u~convert_g16u
000006f0h   | 19      | 7ff7c71927b0h : 7ff7c71927b9h   | 9       | corefunc/converter/convert16u~convert_g16u
00000710h   | 23      | 7ff7c71927d0h : 7ff7c71927d9h   | 9       | corefunc/converter/convert16u~convert_g16u
00000730h   | 23      | 7ff7c71927f0h : 7ff7c71927f9h   | 9       | corefunc/converter/convert16u~convert_g16u
00000750h   | 23      | 7ff7c7192810h : 7ff7c7192819h   | 9       | corefunc/converter/convert16u~convert_g16u
00000770h   | 23      | 7ff7c7192830h : 7ff7c7192841h   | 17      | corefunc/converter/convert16u~convert_g16u
000007a0h   | 31      | 7ff7c7192860h : 7ff7c7192871h   | 17      | corefunc/converter/convert16u~convert_g16u
000007d0h   | 31      | 7ff7c7192890h : 7ff7c71928a2h   | 18      | corefunc/converter/convert32f~convert_g32f
00000910h   | 302     | 7ff7c71929d0h : 7ff7c71929e2h   | 18      | corefunc/converter/convert32f~convert_g32f
00000940h   | 30      | 7ff7c7192a00h : 7ff7c7192a12h   | 18      | corefunc/converter/convert32f~convert_g32f
00000970h   | 30      | 7ff7c7192a30h : 7ff7c7192a46h   | 22      | corefunc/converter/convert32f~convert_g32f
