Offset      | Gap     | Origin                          | Size    | Uri
00000000h   | 0       | 7ff7c71ccb40h : 7ff7c71ccb6eh   | 46      | intrinsics/dinx/vbitblend_256x32u
00000050h   | 34      | 7ff7c71ccb90h : 7ff7c71ccbbeh   | 46      | intrinsics/dinx/vbitblend_256x64u
000000a0h   | 34      | 7ff7c71ccbe0h : 7ff7c71ccc6ah   | 138     | intrinsics/dinx/vbfly__n1_128x8u
00000150h   | 38      | 7ff7c71ccc90h : 7ff7c71ccce8h   | 88      | intrinsics/dinx/vbfly__n1_128x16u
000001d0h   | 40      | 7ff7c71ccd10h : 7ff7c71ccd68h   | 88      | intrinsics/dinx/vbfly__n1_128x32u
00000250h   | 40      | 7ff7c71ccd90h : 7ff7c71ccdech   | 92      | intrinsics/dinx/vbfly__n1_128x64u
000002d0h   | 36      | 7ff7c71cce10h : 7ff7c71cce9ah   | 138     | intrinsics/dinx/vbfly__n2_128x8u
00000380h   | 38      | 7ff7c71ccec0h : 7ff7c71ccf18h   | 88      | intrinsics/dinx/vbfly__n2_128x16u
00000400h   | 40      | 7ff7c71ccf40h : 7ff7c71ccf98h   | 88      | intrinsics/dinx/vbfly__n2_128x32u
00000480h   | 40      | 7ff7c71ccfc0h : 7ff7c71cd01ch   | 92      | intrinsics/dinx/vbfly__n2_128x64u
00000500h   | 36      | 7ff7c71cd040h : 7ff7c71cd098h   | 88      | intrinsics/dinx/vbfly__n4_128x16u
00000580h   | 40      | 7ff7c71cd0c0h : 7ff7c71cd118h   | 88      | intrinsics/dinx/vbfly__n4_128x32u
00000600h   | 40      | 7ff7c71cd140h : 7ff7c71cd19ch   | 92      | intrinsics/dinx/vbfly__n4_128x64u
00000680h   | 36      | 7ff7c71cd1c0h : 7ff7c71cd218h   | 88      | intrinsics/dinx/vbfly__n8_128x32u
00000700h   | 40      | 7ff7c71cd240h : 7ff7c71cd29ch   | 92      | intrinsics/dinx/vbfly__n8_128x64u
00000780h   | 36      | 7ff7c71cd2c0h : 7ff7c71cd31ch   | 92      | intrinsics/dinx/vbfly__n16_128x64u
00000c10h   | 1076    | 7ff7c71cd750h : 7ff7c71cd7ddh   | 141     | intrinsics/dinx/vbfly__n1_256x8u
00000cc0h   | 35      | 7ff7c71cd800h : 7ff7c71cd85bh   | 91      | intrinsics/dinx/vbfly__n1_256x16u
00000d40h   | 37      | 7ff7c71cd880h : 7ff7c71cd8dbh   | 91      | intrinsics/dinx/vbfly__n1_256x32u
00000dc0h   | 37      | 7ff7c71cd900h : 7ff7c71cd95fh   | 95      | intrinsics/dinx/vbfly__n1_256x64u
00000e40h   | 33      | 7ff7c71cd980h : 7ff7c71cda0dh   | 141     | intrinsics/dinx/vbfly__n2_256x8u
00000ef0h   | 35      | 7ff7c71cda30h : 7ff7c71cda8bh   | 91      | intrinsics/dinx/vbfly__n2_256x16u
00000f70h   | 37      | 7ff7c71cdab0h : 7ff7c71cdb0bh   | 91      | intrinsics/dinx/vbfly__n2_256x32u
